SnomedCTConceptId,Term,Disease,Otherinstructions,origin
160983005,Attendance allowance,Activity limitation,,['efi']
161041005,Has disabled driver badge,Activity limitation,,['efi']
21134002,Disability,Activity limitation,,['efi']
273302005, Barthel index (assessment scale),Activity limitation,Equal to or less than 18,['efi']
285869003,Unable to use washing machine,Activity limitation,,['efi']
285872005,Diff using washing machine,Activity limitation,,['efi']
286049003,Unable to wash laundry,Activity limitation,,['efi']
286052006,Difficulty washing laundry,Activity limitation,,['efi']
286090000,Difficulty doing washing-up,Activity limitation,,['efi']
286093003,Unab dispose household rubbish,Activity limitation,,['efi']
286097002,Diff dispos household rubbish,Activity limitation,,['efi']
286100007,Unable to clean room,Activity limitation,,['efi']
286103009,Difficulty cleaning room,Activity limitation,,['efi']
286106001,Unable to do polishing,Activity limitation,,['efi']
286109008,Difficulty doing polishing,Activity limitation,,['efi']
286112006,Unable to do dusting,Activity limitation,,['efi']
286115008,Difficulty doing dusting,Activity limitation,,['efi']
286118005,Unable to clean floor,Activity limitation,,['efi']
286121007,Difficulty cleaning floor,Activity limitation,,['efi']
286124004,Unable to clean windows,Activity limitation,,['efi']
286127006,Difficulty cleaning windows,Activity limitation,,['efi']
286130004,Unab clean food prepara area,Activity limitation,,['efi']
286133002,Diff cleaning food prepar area,Activity limitation,,['efi']
286142009,Unable to clean cooker,Activity limitation,,['efi']
286145006,Difficulty cleaning cooker,Activity limitation,,['efi']
286149000,Unable to clean bath,Activity limitation,,['efi']
286152008,Difficulty cleaning bath,Activity limitation,,['efi']
286155005,Unable to clean shower,Activity limitation,,['efi']
286158007,Difficulty cleaning shower,Activity limitation,,['efi']
286161008,Unable to clean sink,Activity limitation,,['efi']
286164000,Difficulty cleaning sink,Activity limitation,,['efi']
286167007,Unable to clean toilet,Activity limitation,,['efi']
286170006,Difficulty cleaning toilet,Activity limitation,,['efi']
300622009,Unable to use public transport,Activity limitation,,['efi']
300625006,Diff using public transport,Activity limitation,,['efi']
300632002,Diff using private transport,Activity limitation,,['efi']
300635000,Unable to drive a car,Activity limitation,,['efi']
300638003,Difficulty driving a car,Activity limitation,,['efi']
300662008,Diff perf act invol usng trans,Activity limitation,,['efi']
300726004,Unab carry out telephone activ,Activity limitation,,['efi']
300729006,Diff carrying telephone activ,Activity limitation,,['efi']
300733004,Unable to use telephone,Activity limitation,,['efi']
300736007,Difficulty using telephone,Activity limitation,,['efi']
300751003,Unable to carry out garden act,Activity limitation,,['efi']
300754006,Diff carrying out garden acts,Activity limitation,,['efi']
300757004,Unable to engage in a hobby,Activity limitation,,['efi']
300760006,Difficulty engaging in a hobby,Activity limitation,,['efi']
424533000,Difficulty perform laundry act,Activity limitation,,['efi']
514591000000108,DS 1500 Disability living allowance completed,Activity limitation,,['efi']
