SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
28127009,Social drinker,Alcohol Problems Others,Lower risk drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
228277002,Light drinker,Alcohol Problems Others,Lower risk drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
228276006,Trivial drinker - <1u/day,Alcohol Problems Others,Lower risk drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
266917007,Trivial drinker - <1u/day,Alcohol Problems Others,Lower risk drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
160575005,Light drinker - 1-2u/day,Alcohol Problems Others,Lower risk drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
160593006,Alcohol intake within recommended sensible limits,Alcohol Problems Others,Lower risk drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
160584005,Ex-moderate drinker - (3-6u/d),Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
160585006,Ex-heavy drinker - (7-9u/day),Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
160587003,Ex-very heavy drinker-(>9u/d),Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
191813001,Chronic alcoholism in remission,Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
191884001,Nondependent alcohol abuse in remission,Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
161466001,H/O: alcoholism,Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
918321000000104,Alcohol dependence resolved,Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
968891000000109,Alcohol relapse prevention,Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
161109002,Alcoholics anonymous,Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
191806001,"Acute alcoholic intoxication in remission, in alcoholism",Alcohol Problems Others,Previous higher risk/harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
105542008,Teetotaller,Alcohol Problems Others,Zero alcohol,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
