SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
160577002,Heavy drinker - 7-9u/day,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
160578007,Very heavy drinker - >9u/day,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
86933000,Heavy drinker,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
228279004,Very heavy drinker,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
228315001,Binge drinker,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
15167005,Alcohol misuse,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
720175009,Alcohol harm reduction programme,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
720178006,Alcohol twelve step programme,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
375941000000101,Advised to contact primary care alcohol worker,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
946101000000100,Specialist alcohol treatment service signposted,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
431260004,Referral to specialist alcohol treatment service,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
376401000000103,Referral to alcohol brief intervention service,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
379411000000105,Brief intervention for excessive alcohol consumptn declined,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
380861000000109,Declined referral to specialist alcohol treatment service,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
754831000000102,Extended interven for excessive alcohol consumption declined,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
781191000000101,Referral to community alcohol team declined,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
933641000000103,Refer to MH services deferred until alcohol misuse resolved,Alcohol Problems,Harmful drinking,['efi'],"Newly added after splitting condition ""Alcohol"" of efi file and Disease name is given by DynAIRx-Asra after Sam Discussion"
