SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
19057007,Status anginosus,Angina,,"['efi', 'Lauren_codelist']",
194828000,Stenocardia,Angina,,"['efi', 'Lauren_codelist']",
21470009,Syncope anginosa,Angina,,"['efi', 'Lauren_codelist']",
300995000,Angina on effort,Angina,,"['efi', 'Lauren_codelist']",
314116003,Post infarct angina,Angina,,"['efi', 'Lauren_codelist']",
233821000,New onset angina,Angina,,"['efi', 'Lauren_codelist']",
233819005,Stable angina,Angina,,"['efi', 'Lauren_codelist']",
194828000,Angina pectoris NOS,Angina,,"['efi', 'Lauren_codelist']",
194828000,[X]Other forms of angina pectoris,Angina,,"['efi', 'Lauren_codelist']",
315025001,Refractory angina,Angina,,"['efi', 'Lauren_codelist']",
194828000,Angina pectoris,Angina,,"['efi', 'Lauren_codelist']",
35928006,Nocturnal angina,Angina,,"['efi', 'Lauren_codelist']",
87343002,Prinzmetal's angina,Angina,,"['efi', 'Lauren_codelist']",
87343002,Variant angina pectoris,Angina,,"['efi', 'Lauren_codelist']",
161504004,H/O: angina pectoris,Angina,,"['efi', 'Lauren_codelist']",
170595000,Angina control - poor,Angina,,"['efi', 'Lauren_codelist']",
170594001,Angina control - good,Angina,,"['efi', 'Lauren_codelist']",
170597008,Angina control - worsening,Angina,,"['efi', 'Lauren_codelist']",
315025001,Refractory angina,Angina,,"['efi', 'Lauren_codelist']",
19057007,Status anginosus,Angina,,"['efi', 'Lauren_codelist']",
4557003,Crescendo angina,Angina,,['Lauren_codelist'],
59021001,Angina at rest,Angina,,['Lauren_codelist'],
4557003,Unstable angina,Angina,,['Lauren_codelist'],
59021001,Angina at rest,Angina,,['Lauren_codelist'],
4557003,Worsening angina,Angina,,['Lauren_codelist'],
59021001,Angina decubitus,Angina,,['Lauren_codelist'],
59021001,Angina decubitus NOS,Angina,,['Lauren_codelist'],
308066006,H/O: Angina in last year,Angina,,['Lauren_codelist'],
170593007,Angina control NOS,Angina,,['Lauren_codelist'],
170596004,Angina control - improving,Angina,,['Lauren_codelist'],
170593007,Angina control,Angina,,['Lauren_codelist'],
308117007,Antianginal therapy,Angina,,['Lauren_codelist'],
4557003,Worsening angina,Angina,,['Lauren_codelist'],
4557003,Preinfarction syndrome,Angina,,['Lauren_codelist'],
4557003,Crescendo angina,Angina,,['Lauren_codelist'],
25106000,Impending infarction,Angina,,['Lauren_codelist'],
4557003,Unstable angina,Angina,,['Lauren_codelist'],
59021001,Angina at rest,Angina,,['Lauren_codelist'],
4557003,Unstable angina,Angina,,['Lauren_codelist'],
59021001,Angina at rest,Angina,,['Lauren_codelist'],
315026000,Transient myocardial ischaemia,Angina,,['efi'],
233845001,Cardiac syndrome X,Angina,,['efi'],
15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis (disorder),Angina,,['ManchesterGitHub'],
371807002,Atypical angina (disorder),Angina,,['ManchesterGitHub'],
371811008,Recurrent angina status post rotational atherectomy (disorder),Angina,,['ManchesterGitHub'],
371812001,Recurrent angina status post directional coronary atherectomy (disorder),Angina,,['ManchesterGitHub'],
41334000,"Angina, class II (disorder)",Angina,,['ManchesterGitHub'],
791000119109,Angina due to type 2 diabetes mellitus (disorder),Angina,,['ManchesterGitHub'],
89323001,"Angina, class IV (disorder)",Angina,,['ManchesterGitHub'],
