SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
56882008,Anorexia nervosa,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'OPTIMAL' 'liverpool'],
72366004,Other and unspecified non-organic eating disorders,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'OPTIMAL' 'liverpool'],
78004001,Bulimia (non-organic overeating),Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'OPTIMAL' 'liverpool'],
231522009,[X]Atypical anorexia nervosa,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'OPTIMAL' 'liverpool'],
231523004,[X]Atypical bulimia nervosa,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'OPTIMAL'],
4.96871E+14,[D]Anorexia,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'liverpool'],
4.51151E+14,[D]Anorexia NOS,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'liverpool'],
79890006,[D]Anorexia NOS,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi'],
267023007,[D]Bulimia NOS,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi' 'liverpool'],
705001007,Self-induced vomiting to lose weight,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi'],
705002000,Repeated self-induced vomiting,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi'],
248119008,Abuse of drugs to lose weight,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi'],
248120002,Excessive exercising to lose weight,Anorexia/bulimia (eating disorders),", Time constraint years: 5.0",['efi'],
