SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
10698009,Herpes zoster iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
11226001,Fuchs' heterochromic cyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
12630008,Primary iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
128473001,Uveitis NOS,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
13608004,Herpes simplex iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
186266008,Tuberculous chronic iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
193487008,Secondary infected iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
193489006,Diabetic iritis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
193493000,Chronic iridocyclitis due to disease EC,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
267618008,Acute and subacute iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
267618008,Acute or subacute iritis NOS,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
267618008,Unspecified acute iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
267618008,Unspecified subacute iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
29538005,Glaucomatocyclitic crises,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
314428001,Posterior cyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
314429009,Chronic iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
314429009,Chronic iritis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
398155003,Chronic anterior uveitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
410494003,Lens-induced iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
410692006,Anterior uveitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
43193009,Gouty iritis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
45688009,Pars planitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
65074000,Iritis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
6869001,Recurrent iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
77971008,Certain types of cyclitis NOS,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
77971008,Certain types of iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
77971008,Chronic iridocyclitis NOS,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
77971008,Iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
77971008,Unspecified chronic iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
77971008,Unspecified iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
87807004,Hypopyon,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
9091006,Gonococcal iridocyclitis,Anterior and Intermediate Uveitis,,['Lauren_codelist'],
