SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
1064821000000100,Extrinsic asthma with status asthmaticus,Asthma,,['Lauren_codelist'],
1064821000000100,Intrinsic asthma with status asthmaticus,Asthma,,['Lauren_codelist'],
1064821000000100,Status asthmaticus NOS,Asthma,,['Lauren_codelist'],
1086711000000100,Intrins asthma with: [asthma attack] or [status asthmaticus],Asthma,,['efi'],
12428000,Intrinsic asthma without status asthmaticus,Asthma,,['Lauren_codelist' 'efi'],
159366000,Asthma sometimes restricts exercise,Asthma,,['efi'],
161527007,H/O: asthma,Asthma,,['efi'],
170627008,Airways obstruction reversible,Asthma,,['efi'],
170631002,Asthma disturbing sleep,Asthma,,['efi'],
170632009,Asthma causing night waking,Asthma,,['efi'],
170633004,Asthma disturbs sleep weekly,Asthma,,['efi'],
170634005,Asthma disturbs sleep frequently,Asthma,,['efi'],
170635006,Asthma not disturbing sleep,Asthma,,['efi'],
170636007,Asthma never disturbs sleep,Asthma,,['efi'],
170637003,Asthma limiting activities,Asthma,,['efi'],
170638008,Asthma not limiting activities,Asthma,,['efi'],
170642006,Asthma severity,Asthma,,['efi'],
170647000,Asthma prophylactic medication used,Asthma,,['efi'],
170655007,Asthma restricts exercise,Asthma,,['efi'],
170656008,Asthma sometimes restricts exercise,Asthma,,['efi'],
170657004,Asthma severely restricts exercise,Asthma,,['efi'],
170658009,Asthma never restricts exercise,Asthma,,['efi'],
176711000000100,Does not have asthma management plan,Asthma,,['efi'],
182726007,Asthma control step 0,Asthma,,['efi'],
182727003,Asthma control step 1,Asthma,,['efi'],
182728008,Asthma control step 2,Asthma,,['efi'],
182729000,Asthma control step 3,Asthma,,['efi'],
182730005,Asthma control step 4,Asthma,,['efi'],
182731009,Asthma control step 5,Asthma,,['efi'],
183478001,"Emergency admission, asthma",Asthma,,['efi'],
185242005,Seen in asthma clinic,Asthma,,['efi'],
185728001,Attends asthma monitoring,Asthma,,['efi'],
185729009,Refuses asthma monitoring,Asthma,,['efi'],
185730004,Asthma monitor offer default,Asthma,,['efi'],
185735009,Asthma monitoring call verbal invite,Asthma,,['efi'],
195949008,Chronic asthmatic bronchitis,Asthma,,['Lauren_codelist'],
195967001,Asthma,Asthma,,['Lauren_codelist' 'efi'],
195967001,Asthma NOS,Asthma,,['Lauren_codelist'],
195967001,Asthma unspecified,Asthma,,['Lauren_codelist'],
195967001,Bronchial asthma,Asthma,,['Lauren_codelist'],
195967001,Hyperreactive airways disease,Asthma,,['Lauren_codelist'],
195977004,Mixed asthma,Asthma,,['Lauren_codelist' 'efi'],
201031000000108,Asthma trigger - respiratory infection,Asthma,,['efi'],
201041000000104,Asthma trigger - seasonal,Asthma,,['efi'],
201051000000101,Asthma trigger - animals,Asthma,,['efi'],
201191000000108,Asthma trigger - cold air,Asthma,,['efi'],
201201000000105,Asthma trigger - damp,Asthma,,['efi'],
201211000000107,Asthma trigger - emotion,Asthma,,['efi'],
225057002,Brittle asthma,Asthma,,['Lauren_codelist' 'efi'],
23315001,Sequoiosis (red-cedar asthma),Asthma,,['Lauren_codelist'],
233678006,Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev],Asthma,,['efi'],
233678006,Childhood asthma,Asthma,,['Lauren_codelist'],
233679003,Late onset asthma,Asthma,,['Lauren_codelist'],
233679003,Late-onset asthma,Asthma,,['Lauren_codelist' 'efi'],
233683003,Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev],Asthma,,['efi'],
233683003,Pollen asthma,Asthma,,['Lauren_codelist'],
233691007,Asthmatic pulm eosinophilia,Asthma,,['efi'],
266361008,Intrinsic asthma,Asthma,,['Lauren_codelist'],
266361008,Intrinsic asthma NOS,Asthma,,['Lauren_codelist'],
266361008,Late-onset asthma,Asthma,,['efi'],
270442000,Asthma monitoring check done,Asthma,,['efi'],
275908000,Asthma monitoring,Asthma,,['efi'],
281239006,Exacerbation of asthma,Asthma,,['efi'],
292617004,Adverse reaction to theophylline - asthma,Asthma,,['efi'],
302220000,Asthma control steps,Asthma,,['efi'],
304527002,(Severe asthma attack) or (status asthmaticus NOS),Asthma,,['efi'],
304527002,Acute exacerbation of asthma,Asthma,,['Lauren_codelist'],
312453004,Asthma - currently active,Asthma,,['Lauren_codelist' 'efi'],
312454005,Asthma - currently dormant,Asthma,,['efi'],
31387002,Exercise induced asthma,Asthma,,['Lauren_codelist'],
31387002,Exercise-induced asthma,Asthma,,['efi'],
32398004,Asthma,Asthma,,['efi'],
340891000000106,Asthma trigger - airborne dust,Asthma,,['efi'],
340901000000107,Asthma trigger - exercise,Asthma,,['efi'],
340911000000109,Asthma trigger - pollen,Asthma,,['efi'],
340921000000103,Asthma trigger - tobacco smoke,Asthma,,['efi'],
340931000000101,Asthma trigger - warm air,Asthma,,['efi'],
366874008,Number of asthma exacerbations in past year,Asthma,,['efi'],
370202007,Asthma causes daytime symptoms 1 to 2 times per month,Asthma,,['efi'],
370203002,Asthma causes daytime symptoms 1 to 2 times per week,Asthma,,['efi'],
370204008,Asthma causes daytime symptoms most days,Asthma,,['efi'],
370205009,Asthma causes night symptoms 1 to 2 times per month,Asthma,,['efi'],
370206005,Asthma limits walking on the flat,Asthma,,['efi'],
370207001,Asthma limits walking up hills or stairs,Asthma,,['efi'],
370208006,Asthma never causes daytime symptoms,Asthma,,['efi'],
370218001,Mild asthma,Asthma,,['Lauren_codelist' 'efi'],
370219009,Moderate asthma,Asthma,,['Lauren_codelist' 'efi'],
370220003,Occasional asthma,Asthma,,['Lauren_codelist' 'efi'],
370221004,Severe asthma,Asthma,,['Lauren_codelist' 'efi'],
370225008,Asthma treatment compliance unsatisfactory,Asthma,,['efi'],
370226009,Asthma treatment compliance satisfactory,Asthma,,['efi'],
373899003,Asthma daytime symptoms,Asthma,,['efi'],
389145006,Allergic asthma,Asthma,,['Lauren_codelist'],
389145006,Allergic asthma NEC,Asthma,,['Lauren_codelist'],
389145006,Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev],Asthma,,['efi'],
389145006,Extrinsic (atopic) asthma,Asthma,,['Lauren_codelist'],
390798007,Asthma finding,Asthma,,['efi'],
390872009,Change in asthma management plan,Asthma,,['efi'],
390877003,Step up change in asthma management plan,Asthma,,['efi'],
390878008,Step down change in asthma management plan,Asthma,,['efi'],
390921001,Absent work/schl due to asthma,Asthma,,['efi'],
390940007,Asthma monitoring due,Asthma,,['efi'],
394700004,Asthma annual review,Asthma,,['efi'],
394701000,Asthma follow-up,Asthma,,['efi'],
394720003,Asthma medication review,Asthma,,['efi'],
395022009,Asthma night-time symptoms,Asthma,,['efi'],
400987003,Asthma trigger,Asthma,,['efi'],
401135008,Health education - asthma,Asthma,,['efi'],
401182001,Asthma monitoring by nurse,Asthma,,['efi'],
401183006,Asthma monitoring by doctor,Asthma,,['efi'],
