SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
5370000,Atrial flutter (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
49436004,Atrial fibrillation (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
164889003,Electrocardiographic atrial fibrillation (finding),Atrial Fibrillation,,['Caliber AND Manchester'],
164890007,Electrocardiographic atrial flutter (finding),Atrial Fibrillation,,['Caliber AND Manchester'],
195080001,Atrial fibrillation and flutter (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
233910005,Lone atrial fibrillation (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
233911009,Non-rheumatic atrial fibrillation (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
282825002,Paroxysmal atrial fibrillation (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
314208002,Rapid atrial fibrillation (disorder),Atrial Fibrillation,,['Caliber AND Manchester'],
266306001,(Atrial fibrillation) or (atrial flutter) (disorder),Atrial Fibrillation,,['Manchester'],
120041000119109,Atrial fibrillation with rapid ventricular response (disorder),Atrial Fibrillation,,['Caliber'],
15964901000119107,Atypical atrial flutter (disorder),Atrial Fibrillation,,['Caliber'],
720448006,Typical atrial flutter (disorder),Atrial Fibrillation,,['Caliber'],
427665004,Paroxysmal atrial flutter (disorder),Atrial Fibrillation,,['Caliber'],
762247006,Preexcited atrial fibrillation,Atrial Fibrillation,,['Manchester - edh_af'],
1066831000000104,Atrial fibrillation detected,Atrial Fibrillation,,['Manchester - edh_af'],
