SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
405273008,Manic mood,Bipolar,,['efi' 'liverpool'],
268619003,"Manic disorder, single episode",Bipolar,,['efi' 'liverpool'],
231496004,"Manic disorder, single episode",Bipolar,,[efi],
191583000,"Single manic episode, mild",Bipolar,,['efi' 'liverpool'],
191584006,"Single manic episode, moderate",Bipolar,,['efi' 'liverpool'],
7.64641E+14,"Single manic episode, severe without mention of psychosis",Bipolar,,['efi' 'liverpool'],
191586008,"Single manic episode, severe, with psychosis",Bipolar,,['efi' 'liverpool'],
191588009,Single manic episode in full remission,Bipolar,,['efi' 'liverpool'],
191590005,Recurrent manic episodes,Bipolar,,['efi' 'liverpool'],
191592002,"Recurrent manic episodes, mild",Bipolar,,['efi' 'liverpool'],
191595000,"Recurrent manic episodes, severe, with psychosis",Bipolar,,['efi' 'liverpool'],
191597008,"Recurrent manic episodes, in full remission",Bipolar,,['efi' 'liverpool'],
191618007,"Bipolar affective disorder, currently manic",Bipolar,,['efi' 'liverpool'],
191620005,"Bipolar affective disorder, currently manic, mild",Bipolar,,['efi' 'liverpool'],
191621009,"Bipolar affective disorder, currently manic, moderate",Bipolar,,['efi' 'liverpool'],
162004,"Bipolar affect disord, currently manic, severe, no psychosis",Bipolar,,[efi],
191623007,"Bipolar affect disord, currently manic,severe with psychosis",Bipolar,,[efi],
63249007,"Bipolar affect disord,currently manic, part/unspec remission",Bipolar,,[efi],
191625000,"Bipolar affective disorder, currently manic, full remission",Bipolar,,[efi],
191627008,"Bipolar affective disorder, currently depressed",Bipolar,,['efi' 'liverpool'],
191629006,"Bipolar affective disorder, currently depressed, mild",Bipolar,,['efi' 'liverpool'],
191630001,"Bipolar affective disorder, currently depressed, moderate",Bipolar,,['efi' 'liverpool'],
61403008,"Bipolar affect disord, now depressed, severe, no psychosis",Bipolar,,[efi],
49512000,"Bipolar affect disord, now depressed, part/unspec remission",Bipolar,,[efi],
53607008,"Bipolar affect disord, now depressed, part/unspec remission",Bipolar,,[efi],
191634005,"Bipolar affective disorder, now depressed, in full remission",Bipolar,,[efi],
191636007,Mixed bipolar affective disorder,Bipolar,,['efi' 'liverpool'],
191638008,"Mixed bipolar affective disorder, mild",Bipolar,,['efi' 'liverpool'],
191639000,"Mixed bipolar affective disorder, moderate",Bipolar,,['efi' 'liverpool'],
7.64591E+14,"Mixed bipolar affective disorder, severe, without psychosis",Bipolar,,['efi' 'liverpool'],
191641004,"Mixed bipolar affective disorder, severe, with psychosis",Bipolar,,['efi' 'liverpool'],
7.60721E+14,"Mixed bipolar affective disorder, partial/unspec remission",Bipolar,,[efi],
191643001,"Mixed bipolar affective disorder, in full remission",Bipolar,,['efi' 'liverpool'],
13313007,"Unspecified bipolar affective disorder, mild",Bipolar,,['efi' 'liverpool'],
79584002,"Unspecified bipolar affective disorder, moderate",Bipolar,,['efi' 'liverpool'],
4441000,"Unspecified bipolar affective disorder,severe with psychosis",Bipolar,,[efi],
85248005,"Unspecified bipolar affect disord, partial/unspec remission",Bipolar,,['efi' 'liverpool'],
5703000,"Unspecified bipolar affect disord, partial/unspec remission",Bipolar,,['efi' 'liverpool'],
41836007,"Unspecified bipolar affective disorder, in full remission",Bipolar,,['efi' 'liverpool'],
9340000,"[X]Bipolar disorder, single manic episode",Bipolar,,[efi],
231495000,[X]Mania with mood-congruent psychotic symptoms,Bipolar,,[efi],
31446002,"[X]Bipolar affective disorder, current episode hypomanic",Bipolar,,[efi],
28663008,[X]Bipolar affect disorder cur epi manic with psychotic symp,Bipolar,,[efi],
371596008,[X]Bipolar affective disorder type I,Bipolar,,['efi' 'liverpool'],
83225003,[X]Bipolar affective disorder type II,Bipolar,,[efi],
304757008,"Profile of mood states, bipolar",Bipolar,,[efi],
400998002,H/O: manic depressive disorder,Bipolar,,[liverpool],
2.85491E+14,Bipolar affective disorder resolved,Bipolar,,[liverpool],
7.64731E+14,Single manic episode in partial or unspecified remission,Bipolar,,[liverpool],
191593007,"Recurrent manic episodes, moderate",Bipolar,,[liverpool],
7.64621E+14,"Recurrent manic episodes, severe without mention psychosis",Bipolar,,[liverpool],
53049002,"Unspecified bipolar affective disorder, severe, no psychosis",Bipolar,,[liverpool],
191658009,Atypical manic disorder,Bipolar,,[liverpool],
429124005,[V]Personal history of manic-depressive psychosis,Bipolar,,[liverpool],
