SnomedCTConceptId,Term,Disease,Otherinstructions,origin
197870000,Atonic bladder,Bladder Dysfunction,,['Lauren_codelist' 'Lauren_codelist']
197870000,Atony of bladder,Bladder Dysfunction,,['Lauren_codelist']
197870000,Atony of bladder NOS,Bladder Dysfunction,,['Lauren_codelist']
197871001,Hypotonic bladder,Bladder Dysfunction,,['Lauren_codelist']
197872008,Bladder inertia,Bladder Dysfunction,,['Lauren_codelist']
197876006,Bladder sphincter paralysis,Bladder Dysfunction,,['Lauren_codelist']
236632007,Functional disorder of bladder,Bladder Dysfunction,,['Lauren_codelist']
236632007,Functional voiding disorder,Bladder Dysfunction,,['Lauren_codelist']
236632007,Other bladder function disorder NOS,Bladder Dysfunction,,['Lauren_codelist']
236632007,Other functional disorder of bladder,Bladder Dysfunction,,['Lauren_codelist']
236632007,"[X]Neuromuscular dysfunction of bladder, unspecified",Bladder Dysfunction,,['Lauren_codelist']
236633002,Overactive bladder,Bladder Dysfunction,,['Lauren_codelist']
368311000119105,"Reflex neuropathic bladder, not elsewhere classified",Bladder Dysfunction,,['Lauren_codelist']
397732007,"Uninhibited neuropathic bladder, NEC",Bladder Dysfunction,,['Lauren_codelist']
398064005,Neurogenic bladder,Bladder Dysfunction,,['Lauren_codelist' 'Lauren_codelist']
398064005,Neuropathic bladder,Bladder Dysfunction,,['Lauren_codelist']
455661000000100,[X]Other neuromuscular dysfunction of bladder,Bladder Dysfunction,,['Lauren_codelist']
61033006,Detrusor instability,Bladder Dysfunction,,['Lauren_codelist' 'Lauren_codelist']
61033006,Irritable bladder,Bladder Dysfunction,,['Lauren_codelist']
61033006,Unstable bladder,Bladder Dysfunction,,['Lauren_codelist' 'Lauren_codelist']
9009001,Hypertonic bladder sphincter,Bladder Dysfunction,,['Lauren_codelist']
