SnomedCTConceptId,Term,Disease,Otherinstructions,origin
190644002,senile osteomalacia,Bone disease,,['efi']
190645001,adult osteomalacia due to malabsorption,Bone disease,,['efi']
190646000,adult osteomalacia due to malnutrition,Bone disease,,['efi']
203327008,paget's disease-cervical spine,Bone disease,,['efi']
203328003,paget's disease-thoracic spine,Bone disease,,['efi']
203329006,paget's disease-lumbar spine,Bone disease,,['efi']
203330001,paget's disease-sacrum,Bone disease,,['efi']
203332009,paget's disease-clavicle,Bone disease,,['efi']
203333004,paget's disease-scapula,Bone disease,,['efi']
203334005,paget's disease-humerus,Bone disease,,['efi']
203335006,paget's disease-radius,Bone disease,,['efi']
203336007,paget's disease-ulna,Bone disease,,['efi']
203337003,paget's disease-carpal bone,Bone disease,,['efi']
203340003,paget's disease-pelvis,Bone disease,,['efi']
203342006,paget's disease-femur,Bone disease,,['efi']
203343001,paget's disease-patella,Bone disease,,['efi']
203344007,paget's disease-tibia,Bone disease,,['efi']
203345008,paget's disease-fibula,Bone disease,,['efi']
203351003,paget's disease-skull,Bone disease,,['efi']
203352005,paget's disease-multiple sites,Bone disease,,['efi']
2089002,osteitis deformans - paget's disease of the bone,Bone disease,,['efi']
34713006,osteomalacia,Bone disease,,['efi']
396931000000109,"[x]adult osteomalacia, unspecified",Bone disease,,['efi']
41345002,osteomalacia,Bone disease,,['efi']
4598005,osteomalacia,Bone disease,,['efi']
