SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
12295008,Bronchiectasis (disorder); Bronchiectasis; Bronchiectasis NOS,Bronchiectasis,,['Lauren_codelist' 'Manual SNOMED CT Browser'],"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually; also SNOMED repeated 3 times"
939431000000108,History of bronchiectasis (situation),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
51068008,Adult bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
52500008,Saccular bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
13217005,Fusiform bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
19325002,Traction bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
233628009,Acquired bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
195984007,Recurrent bronchiectasis (disorder); Recurrent bronchiectasis,Bronchiectasis,,['Manual SNOMED CT Browser' 'Lauren_codelist'],"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually Repeated two times"
12310001,Childhood bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
233629001,Idiopathic bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
86204009,Immotile cilia syndrome (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
77593006,Congenital bronchiectasis (disorder); Congenital bronchiectasis,Bronchiectasis,,['Manual SNOMED CT Browser' 'Lauren_codelist'],"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually; Repeated two times"
233630006,Obstructive bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
23022004,Tuberculous bronchiectasis (disorder); Tuberculous bronchiectasis,Bronchiectasis,,['Manual SNOMED CT Browser' 'Lauren_codelist'],"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually; Repeated two times"
83457000,Cylindrical bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
61581000000107,Bronchiectasis annual review (regime/therapy),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
233631005,Toxin-induced bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
195985008,Post-infective bronchiectasis (disorder); Post-infective bronchiectasis,Bronchiectasis,,['Manual SNOMED CT Browser' 'Lauren_codelist'],"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually; Repeated two times"
233627004,Congenital cystic bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
445378003,Acute exacerbation of bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
233633008,Bronchiectasis caused by toxic inhalation (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
233632003,Bronchiectasis caused by toxic aspiration (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
233634002,Post-lung transplantation bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
714203003,Acute bronchitis co-occurrent with bronchiectasis (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
879963005,Exacerbation of bronchiectasis caused by infection (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
42402006,Kartagener syndrome (disorder),Bronchiectasis,,Manual SNOMED CT Browser,"Category name ""Bronchiectasis"" given manually by dividing pulmonary fibrosis categories manually"
