SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
49708008,Anaemia secondary to chronic renal failure,CKD,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi'],changed from 'Anaemia & haematinic deficiency' to 'CKD'
49708008,Anaemia secondary to chronic renal failure,CKD,,['Lauren_codelist'],changed from 'Anaemia Nos' to 'CKD'
270999004,Urine total protein measurement,CKD,,['efi'],
1003291000000105,Urine total protein,CKD,,['efi'],
1028811000000103,Urine protein level,CKD,,['efi'],
57378007,Measurement of protein in urine,CKD,,['efi'],
1028731000000100,Urine protein/creatinine ratio,CKD,,['efi'],
313500004,Urine protein/creatinine ratio measurement,CKD,,['efi'],
1030991000000102,Urine protein/creatinine index,CKD,,['efi'],
401095009,Urine protein/creatinine index,CKD,,['efi'],
1003301000000109,Urine albumin level,CKD,,['efi'],
271000000,Urine albumin measurement,CKD,,['efi'],
1023491000000104,Urine albumin:creatinine ratio,CKD,,['efi'],
271075006,Urine albumin/creatinine ratio measurement,CKD,,['efi'],
46716003,Microalbuminuria measurement,CKD,,['efi'],
1010251000000109,Urine microalbumin level,CKD,,['efi'],
80274001,Glomerular filtration rate,CKD,,['efi'],
