SnomedCTConceptId,Term,Disease,Manual/New Disease Name,Otherinstructions,origin,Comments,,,,,,
10069009,"[m]giant cell tumour of bone, malignant",Cancer,,,['efi'],,,,,,,
10639003,[m]plasmacytoma nos,Cancer,,,['efi'],,,,,,,
108369006,[m]spheroidal cell carcinoma,Cancer,,,['efi'],,,,,,,
1090101000000100,2-malig neop supratrochlear LN,Cancer,,,['efi'],,,,,,,
1090221000000100,2-malig neop internal iliac LN,Cancer,,,['efi'],,,,,,,
1090881000000100,"[x]malignant neoplasm of bronchus or lung, unspecified",Cancer,,,['efi'],,,,,,,
1090911000000100,malignant neoplasm of bone and articular cartilage,Cancer,,,['efi'],,,,,,,
1091861000000100,Cutaneous follicle cent lymph,Cancer,,,['efi'],,,,,,,
109347009,malignant neoplasm/overlap lesion/bone+articulr cartilage,Cancer,,,['efi'],,,,,,,
109348004,Malig neop ovlap bone/car lim,Cancer,,,['efi'],,,,,,,
109355002,[m]intraepithelial carcinoma nos,Cancer,,,['efi'],,,,,,,
109358000,[x]malignant neoplasm/overlap lesion/other+ill-defined sites,Cancer,,,['efi'],,,,,,,
109368005,Mal neop overlap lesn hypophar,Cancer,,,['efi'],,,,,,,
109371002,"Mal neop,overlap les bron/lung",Cancer,,,['efi'],,,,,,,
109378008,"[m]mesothelioma, malignant",Cancer,,,['efi'],,,,,,,
109383000,Mesothelioma of pericardium,Cancer,,,['efi'],,,,,,,
109384006,"malig neo, overlapping lesion of heart, mediastinum & pleura",Cancer,,,['efi'],,,,,,,
109385007,"kaposi's sarcoma, unspecified",Cancer,,,['efi'],,,,,,,
109386008,kaposi's sarcoma of skin,Cancer,,,['efi'],,,,,,,
109391009,kaposi's sarcoma of lymph nodes,Cancer,,,['efi'],,,,,,,
109392002,kaposi's sarcoma of multiple organs,Cancer,,,['efi'],,,,,,,
109824000,"Mal neop,ovlap lesn maj sal gl",Cancer,,,['efi'],,,,,,,
109837002,Mal neop overlap les small int,Cancer,,,['efi'],,,,,,,
109841003,LCC - Liver cell carcinoma,Cancer,,,['efi'],,,,,,,
109842005,Ca intrahepatic bile ducts,Cancer,,,['efi'],,,,,,,
109843000,hepatoblastoma of liver,Cancer,,,['efi'],,,,,,,
109844006,primary angiosarcoma of liver,Cancer,,,['efi'],,,,,,,
109847004,Mal neop overlap lesn bil trac,Cancer,,,['efi'],,,,,,,
109853004,mesothelioma of peritoneum,Cancer,,,['efi'],,,,,,,
109874003,"Mal neop,ovlap les mal gen org",Cancer,,,['efi'],,,,,,,
109875002,"Malig neop, overlap lesn penis",Cancer,,,['efi'],,,,,,,
109878000,malignant neoplasm/overlapping lesion/feml genital organs,Cancer,,,['efi'],,,,,,,
109885001,malignant neoplasm of overlapping lesion of vulva,Cancer,,,['efi'],,,,,,,
109911004,"malig neopl, overlap lesion brain & other part of cns",Cancer,,,['efi'],,,,,,,
109912006,"malignant neoplasm, overlapping lesion of brain",Cancer,,,['efi'],,,,,,,
109919002,"Ml neo,ovlap les per nv/aut ns",Cancer,,,['efi'],,,,,,,
109948008,"Mal neop, overlap lesn eye/adn",Cancer,,,['efi'],,,,,,,
109962001,Non-follicular lymphoma,Cancer,,,['efi'],,,,,,,
109980005,[X]Oth mal immunoprolfrtiv dis,Cancer,,,['efi'],,,,,,,
109982002,Alpha heavy chain disease,Cancer,,,['efi'],,,,,,,
109984001,Gamma heavy chain disease,Cancer,,,['efi'],,,,,,,
109991003,Acute panmyelosis,Cancer,,,['efi'],,,,,,,
109992005,Heilmeyer - Schoner disease,Cancer,,,['efi'],,,,,,,
110002002,Mast cell leukaemia,Cancer,,,['efi'],,,,,,,
110004001,APL - Acute promyelocytic leuk,Cancer,,,['efi'],,,,,,,
110005000,M4 - Acute myelomonocy leukaem,Cancer,,,['efi'],,,,,,,
110006004,PLL - Prolymphocytic leukaemia,Cancer,,,['efi'],,,,,,,
110007008,[m]adult t-cell leukaemia/lymphoma,Cancer,,,['efi'],,,,,,,
110013004,Mal neopl overlap lesn tonsil,Cancer,,,['efi'],,,,,,,
11073003,[m]mixed type liposarcoma,Cancer,,,['efi'],,,,,,,
112676006,"[m]transitional cell carcinoma, spindle cell type",Cancer,,,['efi'],,,,,,,
112677002,[m]bronchiolo-alveolar adenocarcinoma,Cancer,,,['efi'],,,,,,,
112683004,[m]pleomorphic liposarcoma,Cancer,,,['efi'],,,,,,,
112685006,"[m]carcinosarcoma, embryonal type",Cancer,,,['efi'],,,,,,,
115215004,[m]adenocarcinomas,Cancer,,,['efi'],,,,,,,
115217007,[m]ovarian cystadenoma or carcinoma,Cancer,,,['efi'],,,,,,,
115223002,[m]naevi and melanomas,Cancer,,,['efi'],,,,,,,
115224008,[m]soft tissue tumours and sarcomas nos,Cancer,,,['efi'],,,,,,,
115225009,[m]fibroxanthosarcoma,Cancer,,,['efi'],,,,,,,
115229003,[m]complex mixed and stromal neoplasms,Cancer,,,['efi'],,,,,,,
115232000,mesothelioma,Cancer,,,['efi'],,,,,,,
115237006,[m]osteomas and osteosarcomas,Cancer,,,['efi'],,,,,,,
115243008,[m]granular cell tumours and alveolar soft part sarcoma,Cancer,,,['efi'],,,,,,,
115244002,"[m]malignant lymphoma, diffuse nos",Cancer,,,['efi'],,,,,,,
115245001,"[m]lymphomas, nodular or follicular",Cancer,,,['efi'],,,,,,,
11671000,[m]adenoid cystic carcinoma,Cancer,,,['efi'],,,,,,,
118287003,[m]transitional cell papillomas and carcinomas,Cancer,,,['efi'],,,,,,,
118617000,BL - Burkitt's lymphoma,Cancer,,,['efi'],,,,,,,
12302002,[m] small cell osteosarcoma,Cancer,,,['efi'],,,,,,,
123151001,[m]mature teratoma,Cancer,,,['efi'],,,,,,,
123844007,[m]endometrioid adenomas and carcinomas,Cancer,,,['efi'],,,,,,,
12400006,[m]papillary transitional cell carcinoma,Cancer,,,['efi'],,,,,,,
12622007,[m]clear cell sarcoma of tendons and aponeuroses,Cancer,,,['efi'],,,,,,,
126488004,[m]skin appendage adenoma and carcinoma,Cancer,,,['efi'],,,,,,,
126490003,[m]sweat gland adenoma and adenocarcinomas,Cancer,,,['efi'],,,,,,,
126667002,Carcinoma resp/intrath. organ,Cancer,,,['efi'],,,,,,,
126724001,[x]mesothelioma of lung,Cancer,,,['efi'],,,,,,,
126824007,gastric neoplasm,Cancer,,,['efi'],,,,,,,
126853008,[m]hepatobiliary tract adenomas and carcinomas,Cancer,,,['efi'],,,,,,,
126859007,[m]pancreatic adenomas and carcinomas,Cancer,,,['efi'],,,,,,,
126880001,[m]renal adenoma or carcinoma nos,Cancer,,,['efi'],,,,,,,
126885006,CA - Bladder cancer,Cancer,,,['efi'],,,,,,,
12690005,[m]fibroblastic osteosarcoma,Cancer,,,['efi'],,,,,,,
126906006,CA - Cancer of prostate,Cancer,,,['efi'],,,,,,,
126915004,malignant neoplasm of other site of uterine adnexa,Cancer,,,['efi'],,,,,,,
127021009,Malig neop adrenal gland NOS,Cancer,,,['efi'],,,,,,,
127022002,[m]adrenal cortical tumours,Cancer,,,['efi'],,,,,,,
127024001,[m]pituitary adenoma or carcinoma nos,Cancer,,,['efi'],,,,,,,
127029006,Malig neop aort body/paragangl,Cancer,,,['efi'],,,,,,,
127071007,Multiple myeloma+immunopr.neop,Cancer,,,['efi'],,,,,,,
127225006,CMML - Chron myelomonocyt leuk,Cancer,,,['efi'],,,,,,,
127331007,malig neop of other endocrine glands and related structures,Cancer,,,['efi'],,,,,,,
127580003,[m]plasma cell tumours,Cancer,,,['efi'],,,,,,,
128462008,secondary malignant neoplasm of other respiratory organs,Cancer,,,['efi'],,,,,,,
128665000,[m]pituitary adenomas and carcinomas,Cancer,,,['efi'],,,,,,,
128799007,"[m]hodgkin's disease, lymphocytic predominance",Cancer,,,['efi'],,,,,,,
128803008,[m] monocytoid b-cell lymphoma,Cancer,,,['efi'],,,,,,,
128805001,[m]angiocentrict-cell lymphoma,Cancer,,,['efi'],,,,,,,
128812005,[m]acute progressive histiocytosis x,Cancer,,,['efi'],,,,,,,
128813000,[m]true histiocytic lymphoma,Cancer,,,['efi'],,,,,,,
128825002,Chron myeloge leuk BCR/ABL pos,Cancer,,,['efi'],,,,,,,
128826001,At chron myel leuk BCR/ABL neg,Cancer,,,['efi'],,,,,,,
128831004,[m]chronic myelomonocytic leukaemia,Cancer,,,['efi'],,,,,,,
128842008,[m]chronic myeloproliferative disease,Cancer,,,['efi'],,,,,,,
128875000,Prim cut CD30-pos T-cel prolif,Cancer,,,['efi'],,,,,,,
128916007,[m]medullary carcinoma with amyloid stroma,Cancer,,,['efi'],,,,,,,
128920006,[m]malignant histiocytosis,Cancer,,,['efi'],,,,,,,
128922003,[m]plasma cell leukaemias,Cancer,,,['efi'],,,,,,,
128923008,[m]prolymphocytic leukaemia,Cancer,,,['efi'],,,,,,,
128929007,[m]hodgkin's disease nos,Cancer,,,['efi'],,,,,,,
128930002,[m]hodgkin's disease nos,Cancer,,,['efi'],,,,,,,
128931003,[m]leukaemias unspecified,Cancer,,,['efi'],,,,,,,
128933000,[m]chronic leukaemia nos,Cancer,,,['efi'],,,,,,,
128934006,[m]myeloid leukaemias,Cancer,,,['efi'],,,,,,,
128935007,[m]lymphoid leukaemias,Cancer,,,['efi'],,,,,,,
134421000,pathological fracture due to metastatic bone disease,Cancer,,,['efi'],,,,,,,
13583002,[m]mast cell sarcoma,Cancer,,,['efi'],,,,,,,
13875003,[m]glomangiosarcoma,Cancer,,,['efi'],,,,,,,
14269005,[m]embryonal rhabdomyosarcoma,Cancer,,,['efi'],,,,,,,
14317002,[m]erythroleukaemias,Cancer,,,['efi'],,,,,,,
1443001,[m]chromophobe carcinoma,Cancer,,,['efi'],,,,,,,
14537002,[m]hodgkin's disease,Cancer,,,['efi'],,,,,,,
14799000,"[m]neoplasm, metastatic",Cancer,,,['efi'],,,,,,,
14990007,[m]chondrosarcoma nos,Cancer,,,['efi'],,,,,,,
15176003,[m]adenocarcinoma with squamous metaplasia,Cancer,,,['efi'],,,,,,,
15619004,"[m]hepatocellular carcinoma, fibrolamellar",Cancer,,,['efi'],,,,,,,
15674004,[m]serous surface papillary carcinoma,Cancer,,,['efi'],,,,,,,
16090008,[m]myxoid leiomyosarcoma,Cancer,,,['efi'],,,,,,,
16189002,[m]gastrinoma and carcinomas,Cancer,,,['efi'],,,,,,,
16741004,[m]pleomorphic carcinoma,Cancer,,,['efi'],,,,,,,
16893006,"[m]hodgkin's disease,lymphocytic depletion,diffuse fibrosis",Cancer,,,['efi'],,,,,,,
16974005,"[m]acral lentiginous melanoma, malignant",Cancer,,,['efi'],,,,,,,
17264009,[m]carcinoma in pleomorphic adenoma,Cancer,,,['efi'],,,,,,,
17302008,[m]cerebellar sarcoma nos,Cancer,,,['efi'],,,,,,,
177281002,excision of melanoma,Cancer,,,['efi'],,,,,,,
17788007,[m]acute myeloid leukaemia,Cancer,,,['efi'],,,,,,,
18021007,[m]choroid plexus papilloma nos,Cancer,,,['efi'],,,,,,,
18048008,"[m]epidermoid carcinoma, keratinising type",Cancer,,,['efi'],,,,,,,
18588008,"[m]synovial sarcoma, biphasic type",Cancer,,,['efi'],,,,,,,
187634003,Malig neop ant 2/3 tong.dorsal,Cancer,,,['efi'],,,,,,,
187635002,Ca anterior 2/3 tongue dorsum,Cancer,,,['efi'],,,,,,,
187661003,Malig neop upper labial sulcus,Cancer,,,['efi'],,,,,,,
187662005,Malig neop lower labial sulcus,Cancer,,,['efi'],,,,,,,
187698002,Malig neop opening audit. tube,Cancer,,,['efi'],,,,,,,
187701005,Malig neop floor nasopharynx,Cancer,,,['efi'],,,,,,,
187708004,"Malig neop aryepigl fold,hypop",Cancer,,,['efi'],,,,,,,
187752007,Malig neop Meckel's divertic,Cancer,,,['efi'],,,,,,,
187760008,Malig neop of rectum and anus,Cancer,,,['efi'],,,,,,,
187767006,malignant neoplasm of liver and intrahepatic bile ducts,Cancer,,,['efi'],,,,,,,
187769009,primary carcinoma of liver,Cancer,,,['efi'],,,,,,,
187773007,malignant neoplasm of interlobular bile ducts,Cancer,,,['efi'],,,,,,,
