SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
10810001,[X]Cataract in other diseases classified elsewhere,Cataract,,['Lauren_codelist'],
10810001,[X]Other senile cataract,Cataract,,['Lauren_codelist'],
10810001,[X]Other specified cataract,Cataract,,['Lauren_codelist'],
111515007,Anterior subcapsular polar senile cataract,Cataract,,['Lauren_codelist'],
11422002,Combined senile cataract,Cataract,,['Lauren_codelist'],
12195004,Coronary cataract,Cataract,,['Lauren_codelist'],
1412008,Anterior subcapsular polar cataract,Cataract,,['Lauren_codelist'],
162811006,O/E - cataract present,Cataract,,['Lauren_codelist'],
193570009,Cataract,Cataract,,['Lauren_codelist'],
193570009,Cataract NOS,Cataract,,['Lauren_codelist'],
193570009,Cataract associated with other syndromes,Cataract,,['Lauren_codelist'],
193570009,Cataract due to other disorder,Cataract,,['Lauren_codelist'],
193570009,Cataract due to other disorder NOS,Cataract,,['Lauren_codelist'],
193570009,Other cataract,Cataract,,['Lauren_codelist'],
193570009,Other cataract NOS,Cataract,,['Lauren_codelist'],
193570009,Unspecified infantile cataract,Cataract,,['Lauren_codelist'],
193570009,Unspecified juvenile cataract,Cataract,,['Lauren_codelist'],
193570009,Unspecified secondary cataract,Cataract,,['Lauren_codelist'],
193571008,"Infantile, juvenile and presenile cataracts",Cataract,,['Lauren_codelist'],
193571008,Nonsenile cataract NOS,Cataract,,['Lauren_codelist'],
193571008,Other nonsenile cataract,Cataract,,['Lauren_codelist'],
193576003,Cortical cataract,Cataract,,['Lauren_codelist'],
193577007,Lamellar zonular cataract,Cataract,,['Lauren_codelist'],
193579005,Combined nonsenile cataract,Cataract,,['Lauren_codelist'],
193589009,Nuclear senile cataract,Cataract,,['Lauren_codelist'],
193590000,"Total, mature senile cataract",Cataract,,['Lauren_codelist'],
193600001,Cataract secondary to ocular disease,Cataract,,['Lauren_codelist'],
193600001,Cataract secondary to ocular disorder NOS,Cataract,,['Lauren_codelist'],
193600001,Unspecified cataracta complicata,Cataract,,['Lauren_codelist'],
193602009,Cataract in eye inflammatory disorder,Cataract,,['Lauren_codelist'],
193615000,After-cataract with vision obscured,Cataract,,['Lauren_codelist'],
194156008,Vitreous syndrome following cataract surgery,Cataract,,['Lauren_codelist'],
204124004,Capsular and subcapsular cataract,Cataract,,['Lauren_codelist'],
204124004,Capsular or subcapsular cataract NOS,Cataract,,['Lauren_codelist'],
204125003,Capsular cataract,Cataract,,['Lauren_codelist'],
204127006,Cortical and zonular cataract,Cataract,,['Lauren_codelist'],
204128001,Cortical or zonular cataract NOS,Cataract,,['Lauren_codelist'],
204128001,Zonular cataract,Cataract,,['Lauren_codelist'],
204138006,Blue dot cataract,Cataract,,['Lauren_codelist'],
204139003,Congenital membranous cataract,Cataract,,['Lauren_codelist'],
21818003,Cataract in degenerative disorder,Cataract,,['Lauren_codelist'],
247052002,Cataract observation,Cataract,,['Lauren_codelist'],
267626000,Hypermature cataract,Cataract,,['Lauren_codelist'],
267626000,Morgagni cataract,Cataract,,['Lauren_codelist'],
268159001,Congenital cataract and lens anomalies,Cataract,,['Lauren_codelist'],
268159001,Congenital cataract or lens anomaly NOS,Cataract,,['Lauren_codelist'],
268159001,Other congenital cataract or lens anomaly NOS,Cataract,,['Lauren_codelist'],
268159001,Other specified congenital cataract or lens anomaly,Cataract,,['Lauren_codelist'],
29590001,Total congenital cataract,Cataract,,['Lauren_codelist'],
29590001,Total or subtotal congenital cataract NOS,Cataract,,['Lauren_codelist'],
308089003,O/E - Left cataract present,Cataract,,['Lauren_codelist'],
311789006,Immature cortical cataract,Cataract,,['Lauren_codelist'],
34533008,Posterior subcapsular polar cataract,Cataract,,['Lauren_codelist'],
39450006,Other senile cataract,Cataract,,['Lauren_codelist'],
39450006,Senile cataract,Cataract,,['Lauren_codelist'],
39450006,Senile cataract NOS,Cataract,,['Lauren_codelist'],
39450006,Unspecified senile cataract,Cataract,,['Lauren_codelist'],
395666005,H/O: Bilateral cataract extraction,Cataract,,['Lauren_codelist'],
399305009,Unspecified presenile cataract,Cataract,,['Lauren_codelist'],
40714009,Punctate cataract,Cataract,,['Lauren_codelist'],
408383005,Referral for cataract extraction,Cataract,,['Lauren_codelist'],
415266006,Referral to cataract clinic,Cataract,,['Lauren_codelist'],
420756003,Non-insulin depend diabetes mellitus with diabetic cataract,Cataract,,['Lauren_codelist'],
420756003,Type 2 diabetes mellitus with diabetic cataract,Cataract,,['Lauren_codelist'],
420756003,Type II diabetes mellitus with diabetic cataract,Cataract,,['Lauren_codelist'],
421920002,Type 1 diabetes mellitus with diabetic cataract,Cataract,,['Lauren_codelist' 'Lauren_codelist'],
421920002,Type I diabetes mellitus with diabetic cataract,Cataract,,['Lauren_codelist'],
434215004,Cataract operation planned,Cataract,,['Lauren_codelist'],
43959009,Diabetic cataract,Cataract,,['Lauren_codelist'],
43959009,Insulin dependent diabetes mellitus with diabetic cataract,Cataract,,['Lauren_codelist'],
44219007,Lens capsule pseudoexfoliation,Cataract,,['Lauren_codelist'],
446474007,Immature cataract NOS,Cataract,,['Lauren_codelist'],
469021000000105,[V]State following cataract extraction,Cataract,,['Lauren_codelist'],
47337003,After cataract,Cataract,,['Lauren_codelist'],
47337003,After cataract NOS,Cataract,,['Lauren_codelist'],
47337003,Other after cataract with vision normal,Cataract,,['Lauren_codelist'],
47337003,Posterior capsule opacification,Cataract,,['Lauren_codelist'],
52421005,Incipient cataract NOS,Cataract,,['Lauren_codelist'],
5318001,Posterior subcapsular polar senile cataract,Cataract,,['Lauren_codelist'],
5361003,Nuclear cataract - congenital,Cataract,,['Lauren_codelist'],
53889007,Nuclear cataract,Cataract,,['Lauren_codelist'],
64741003,Myotonic cataract,Cataract,,['Lauren_codelist'],
66499004,Cortical cataract - congenital,Cataract,,['Lauren_codelist'],
68216000,Tetanic cataract,Cataract,,['Lauren_codelist'],
76309006,Cataract with neovascularization,Cataract,,['Lauren_codelist'],
78875003,Cortical senile cataract,Cataract,,['Lauren_codelist'],
79410001,"Congenital cataract, unspecified",Cataract,,['Lauren_codelist'],
815071000000102,Keratopathy following cataract surgery,Cataract,,['Lauren_codelist'],
95722004,Bilateral cataracts,Cataract,,['Lauren_codelist'],
95723009,Subcapsular cataract,Cataract,,['Lauren_codelist'],
161489009,H/O: cataract,Cataract,,['efi'],double check moved from Visual impairment
193609000,Drug-induced cataract,Cataract,,['efi'],double check moved from Visual impairment
247053007,Cataract form,Cataract,,['efi'],double check moved from Visual impairment
247063004,Cataract maturity,Cataract,,['efi'],double check moved from Visual impairment
308088006,O/E - Right cataract present,Cataract,,['efi'],double check moved from Visual impairment
314766004,Mixed type cataract,Cataract,,['efi'],double check moved from Visual impairment
315352000,Anterior subcapsular cataract,Cataract,,['efi'],double check moved from Visual impairment
315353005,Posterior subcapsular cataract,Cataract,,['efi'],double check moved from Visual impairment
34361001,Traumatic cataract,Cataract,,['efi'],double check moved from Visual impairment
5130002,Discission of cataract,Cataract,,['efi'],not sure moved from Visual impairment
71044004,Radiation cataract,Cataract,,['efi'],double check moved from Visual impairment
766837000,Cataract in degenerative disorder,Cataract,,['efi'],double check moved from Visual impairment
849000,Mature cataract,Cataract,,['efi'],double check moved from Visual impairment
