SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
166291000000108,Depression - enhanced services administration,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
166481000000107,Depression - enhanced service completed,Depression,Time constraint=5,['efi'],
191601008,"Single major depressive episode, mild",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191602001,"Single major depressive episode, moderate",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191604000,"Single major depressive episode, severe, with psychosis",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191604000,[X]Severe depressive episode with psychotic symptoms,Depression,Time constraint=5,['Lauren_codelist'],
191606003,"Single major depressive episode, in full remission",Depression,,['Lauren_codelist'],
191610000,"Recurrent major depressive episodes, mild",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191611001,"Recurrent major depressive episodes, moderate",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191613003,"Recurrent major depressive episodes, severe, with psychosis",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191615005,"Recurrent major depressive episodes, in full remission",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191616006,Recurrent depression,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191616006,[X]Other recurrent depressive disorders,Depression,Time constraint=5,['Lauren_codelist'],
191616006,[X]Recurrent depressive disorder,Depression,Time constraint=5,['Lauren_codelist'],
191616006,"[X]Recurrent depressive disorder, unspecified",Depression,Time constraint=5,['Lauren_codelist'],
191632009,[X]Recurrent severe episodes/reactive depressive psychosis,Depression,Time constraint=5,['efi'],
191659001,Atypical depressive disorder,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
191676002,Psychotic reactive depression,Depression,Time constraint=5,['Lauren_codelist'],
191676002,Reactive depressive psychosis,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
192046006,Brief depressive reaction NOS,Depression,Time constraint=5,['efi'],
192049004,Prolonged depressive reaction,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
192080009,Chronic depression,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
192362008,[X]Mixed affective episode,Depression,Time constraint=5,['efi'],
199111000000100,Referral for guided self-help for depression,Depression,Time constraint=5,['efi'],
231499006,Agitated depression,Depression,Time constraint=5,['efi'],
231499006,Endogenous depression first episode,Depression,Time constraint=5,['Lauren_codelist' 'Lauren_codelist'],
231500002,Masked depression,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
231504006,[X]Dysthymia,Depression,Time constraint=5,['efi'],
23645006,Organic affective syndrome,Depression,Time constraint=5,['efi'],
247803002,Seasonal affective disorder,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
251000119105,"Single major depressive episode, severe, without psychosis",Depression,Time constraint=5,['efi'],
268620009,Endogenous depression first episode,Depression,Time constraint=5,['efi'],
268620009,Single major depressive episode,Depression,Time constraint=5,['Lauren_codelist'],
268620009,Single major depressive episode NOS,Depression,Time constraint=5,['Lauren_codelist'],
268620009,"Single major depressive episode, unspecified",Depression,Time constraint=5,['Lauren_codelist'],
268621008,Endogenous depression - recurrent,Depression,Time constraint=5,['efi'],
268621008,Recurrent major depressive episode NOS,Depression,Time constraint=5,['Lauren_codelist'],
268621008,"Recurrent major depressive episodes, unspecified",Depression,Time constraint=5,['Lauren_codelist'],
274948002,Endogenous depression - recurrent,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
28475009,[X]Recurrent severe episodes/reactive depressive psychosis,Depression,Time constraint=5,['efi'],
288751000119101,[X]Single episode of major depression and psychotic symptoms,Depression,Time constraint=5,['efi'],
300706003,Endogenous depression,Depression,Time constraint=5,['Lauren_codelist'],
300706003,Endogenous depression first episode,Depression,Time constraint=5,['efi'],
300706003,[X]Endogenous depression without psychotic symptoms,Depression,Time constraint=5,['Lauren_codelist'],
310495003,[X]Mild depression,Depression,Time constraint=5,['Lauren_codelist'],
310495003,[X]Mild depressive episode,Depression,Time constraint=5,['efi'],
310495003,"[X]Recurrent depressive disorder, current episode mild",Depression,Time constraint=5,['Lauren_codelist'],
310496002,[X]Moderate depressive episode,Depression,Time constraint=5,['efi'],
310496002,"[X]Recurrent depressive disorder, current episode moderate",Depression,Time constraint=5,['Lauren_codelist'],
310497006,[X]Severe depressive episode without psychotic symptoms,Depression,Time constraint=5,['efi'],
310497006,"[X]Vital depression, recurrent without psychotic symptoms",Depression,Time constraint=5,['Lauren_codelist'],
35489007,Depressive disorder NEC,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
35489007,"[X]Depressive episode, unspecified",Depression,Time constraint=5,['Lauren_codelist'],
35489007,[X]Other depressive episodes,Depression,Time constraint=5,['Lauren_codelist'],
361761000000106,On full dose long term treatment depression - enh serv admin,Depression,Time constraint=5,['efi'],
36474008,[X]Endogenous depression without psychotic symptoms,Depression,Time constraint=5,['efi'],
366979004,Depressed,Depression,Time constraint=5,['efi'],
36923009,Endogenous depression,Depression,Time constraint=5,['efi'],
386782008,[X]Persistent mood affective disorders,Depression,Time constraint=5,['efi'],
397701000000102,[X]Severe depressive episode without psychotic symptoms,Depression,Time constraint=5,['Lauren_codelist'],
397701000000102,[X]Single episode vital depression w'out psychotic symptoms,Depression,Time constraint=5,['efi'],
397711000000100,[X]Severe depressive episode with psychotic symptoms,Depression,Time constraint=5,['efi'],
401174001,Depression management programme,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
401211000000106,[X]Single episode vital depression w'out psychotic symptoms,Depression,Time constraint=5,['efi'],
40379007,"[X]Recurrent depressive disorder, current episode mild",Depression,Time constraint=5,['efi'],
40568001,[X]Other recurrent mood affective disorders,Depression,Time constraint=5,['efi'],
413169006,On depression register,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
413972000,Depression annual review,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
413973005,Depression interim review,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
413974004,Depression medication review,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
415044007,Patient given advice about management of depression,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
430421000000104,[X]Mild depressive episode,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
455731000000100,[X]Single episode vital depression w'out psychotic symptoms,Depression,Time constraint=5,['efi'],
46206005,[X]Mood - affective disorders,Depression,Time constraint=5,['efi'],
46244001,"Recurrent major depressive episodes, in full remission",Depression,Time constraint=5,['efi'],
465441000000108,[X]Moderate depressive episode,Depression,Time constraint=5,['Lauren_codelist' 'efi'],
467361000000105,[X]Endogenous depression without psychotic symptoms,Depression,Time constraint=5,['efi'],
58703003,Neurotic depression reactive type,Depression,Time constraint=5,['efi'],
66344007,[X]Recurr depress disorder cur epi severe without psyc sympt,Depression,Time constraint=5,['efi'],
698459008,Antidepressant drug treatment stopped,Depression,Time constraint=5,['efi'],
698957003,"[X]Recurrent depressive disorder, currently in remission",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
713831000000108,Depression monitoring administration,Depression,Time constraint=5,['efi'],
716421000000103,Depression monitoring telephone invite,Depression,Time constraint=5,['efi'],
716681000000100,Depression monitoring second letter,Depression,Time constraint=5,['efi'],
716961000000102,Depression monitoring third letter,Depression,Time constraint=5,['efi'],
717211000000107,Depression monitoring first letter,Depression,Time constraint=5,['efi'],
717261000000109,Depression monitoring verbal invite,Depression,Time constraint=5,['efi'],
73867007,"[X]Major depression, severe with psychotic symptoms",Depression,Time constraint=5,['efi'],
75084000,[X]Single episode vital depression w'out psychotic symptoms,Depression,Time constraint=5,['efi'],
755321000000106,"Single major depressive episode, severe, with psychosis, psychosis in remission",Depression,Time constraint=5,['Lauren_codelist'],
755321000000106,"[X]Single major depr ep, severe with psych, psych in remiss",Depression,Time constraint=5,['efi'],
755331000000108,"[X]Recurr major depr ep, severe with psych, psych in remiss",Depression,Time constraint=5,['efi'],
764611000000100,"Recurrent major depressive episodes, severe, no psychosis",Depression,Time constraint=5,['efi'],
764631000000108,"Single major depressive episode, severe, without psychosis",Depression,Time constraint=5,['Lauren_codelist' 'efi'],
