SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
190390000,Type II diabetes mellitus with gangrene,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
190390000,Type 2 diabetes mellitus with gangrene,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
190389009,Type II diabetes mellitus with ulcer,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
190389009,Type 2 diabetes mellitus with ulcer,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
71771000119100,Type 1 diabetes mellitus with neuropathic arthropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
314903002,Non-insulin dependent diabetes mellitus with arthropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
422166005,NIDDM with peripheral circulatory disorder,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
421895002,IDDM with peripheral circulatory disorder,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
421895002,Diabetes mellitus NOS with peripheral circulatory disorder,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
230572002,Diabetes mellitus with neuropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
230577008,Diabetic mononeuropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
39058009,Diabetic amyotrophy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
267604001,Myasthenic syndrome due to diabetic amyotrophy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
230572002,Diabetic neuropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
49455004,Diabetic polyneuropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
314904008,Type II diabetes mellitus with neuropathic arthropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
314904008,Type 2 diabetes mellitus with neuropathic arthropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
314903002,Type II diabetes mellitus with arthropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
314903002,Type 2 diabetes mellitus with arthropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
201251005,Neuropathic diabetic ulcer - foot,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
193185007,Asymptomatic diabetic neuropathy,Diabetes Neuropathy and Peripheral,,"['efi', 'Lauren_codelist']",
