SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
190390000,Type II diabetes mellitus with gangrene,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
190390000,Type 2 diabetes mellitus with gangrene,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
190389009,Type II diabetes mellitus with ulcer,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
190389009,Type 2 diabetes mellitus with ulcer,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
71771000119100,Type 1 diabetes mellitus with neuropathic arthropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
314903002,Non-insulin dependent diabetes mellitus with arthropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
422166005,NIDDM with peripheral circulatory disorder,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
421895002,IDDM with peripheral circulatory disorder,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
421895002,Diabetes mellitus NOS with peripheral circulatory disorder,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
230572002,Diabetes mellitus with neuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
230577008,Diabetic mononeuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
39058009,Diabetic amyotrophy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
267604001,Myasthenic syndrome due to diabetic amyotrophy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
230572002,Diabetic neuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
49455004,Diabetic polyneuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
314904008,Type II diabetes mellitus with neuropathic arthropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
314904008,Type 2 diabetes mellitus with neuropathic arthropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
314903002,Type II diabetes mellitus with arthropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
314903002,Type 2 diabetes mellitus with arthropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
201251005,Neuropathic diabetic ulcer - foot,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
193185007,Asymptomatic diabetic neuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
193184006,Chronic painful diabetic neuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
193183000,Acute painful diabetic neuropathy,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
49455004,Polyneuropathy in diabetes,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
193141005,Diabetic mononeuritis multiplex,Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
314893005,Type 1 diabetes mellitus with arthropathy,Diabetes Neuropathy,,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
190369008,Type I diabetes mellitus with gangrene,Diabetes Neuropathy,,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
190369008,Type 1 diabetes mellitus with gangrene,Diabetes Neuropathy,,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
190368000,Type I diabetes mellitus with ulcer,Diabetes Neuropathy,,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
