SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
401110002,Type I diabetes mellitus with persistent microalbuminuria,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
421893009,Type 1 diabetes mellitus with renal complications,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
420279001,Type 2 diabetes mellitus with renal complications,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
420279001,Type II diabetes mellitus with renal complications,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
420279001,Non-insulin-dependent diabetes mellitus with renal comps,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
421893009,Type 1 diabetes mellitus with renal complications,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
421893009,Type I diabetes mellitus with renal complications,Diabetic Renal Complications,,"['efi', 'Lauren_codelist']",
127013003,diabetes mellitus with renal manifestation,Diabetic Renal Complications,,['efi'],
420514000,type 1 diabetes mellitus with persistent proteinuria,Diabetic Renal Complications,,['efi'],
421986006,type ii diabetes mellitus with persistent proteinuria,Diabetic Renal Complications,,['efi'],
420715001,type 2 diabetes mellitus with persistent microalbuminuria,Diabetic Renal Complications,,['efi'],
197605007,nephrotic syndrome in diabetes mellitus,Diabetic Renal Complications,,['efi'],
236500003,proteinuric diabetic nephropathy,Diabetic Renal Complications,,['efi'],
197679002,[x]glomerular disorders in diabetes mellitus,Diabetic Renal Complications,,['efi'],
236499007,Diabetes mellitus with persistent microalbuminuria,Diabetic Renal Complications,,['efi'],
397201000000107,[X]Unspecified diabetes mellitus with renal complications (disorder),Diabetic Renal Complications,,['Manchester],
