SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
4855003,Diabetic retinopathy NOS,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
312907002,High risk proliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
390834004,Non proliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
232020009,Diabetic maculopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
193350004,Advanced diabetic maculopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
193349004,Preproliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
59276001,Proliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
4855003,Diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408409007,O/E - right eye background diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
417677008,O/E - sight threatening diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408413000,O/E - right eye proliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408414006,O/E - left eye proliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408412005,O/E - left eye preproliferative diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408410002,O/E - left eye background diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
414910007,O/E - right eye stable treated prolif diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
311782002,Advanced diabetic retinal disease,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
390834004,Background diabetic retinopathy,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
25093002,Diabetes mellitus NOS with ophthalmic manifestation,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
25093002,Other specified diabetes mellitus with ophthalmic complicatn,Diabetic Eye Disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
420486006,Type 1 diabetes mellitus with exudative maculopathy,Diabetic Eye Disease,,['Lauren_codelist'],snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
390855002,O/E - diabetic maculopathy absent both eyes,Diabetic Eye Disease,,['Lauren_codelist'],snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408415007,O/E - right eye diabetic maculopathy,Diabetic Eye Disease,,['Lauren_codelist'],snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
408416008,O/E - left eye diabetic maculopathy,Diabetic Eye Disease,,['Lauren_codelist'],snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
390854003,o/e - diabetic maculopathy present both eyes,Diabetic Eye Disease,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate
408411003,o/e - right eye preproliferative diabetic retinopathy,Diabetic Eye Disease,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate
769244003,o/e - right eye diabetic maculopathy,Diabetic Eye Disease,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate
