SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161665007,H/O: kidney recipient,End Stage Renal Disease,,['Lauren_codelist']
168140004,Peritoneal dialysis sample,End Stage Renal Disease,,['Lauren_codelist']
175901007,Allotransplantation of kidney from live donor,End Stage Renal Disease,,['Lauren_codelist']
175901007,Transplantation of kidney from live donor,End Stage Renal Disease,,['Lauren_codelist']
180272001,Insertion of ambulatory peritoneal dialysis catheter,End Stage Renal Disease,,['Lauren_codelist']
180272001,Placement ambulatory dialysis apparatus - compens renal fail,End Stage Renal Disease,,['Lauren_codelist']
216878005,"Accid cut,puncture,perf,h'ge - kidney dialysis",End Stage Renal Disease,,['Lauren_codelist']
236570004,Renal transplant rejection,End Stage Renal Disease,,['Lauren_codelist']
236573002,Very mild acute rejection of renal transplant,End Stage Renal Disease,,['Lauren_codelist']
236574008,Acute rejection of renal transplant,End Stage Renal Disease,,['Lauren_codelist']
236575009,Acute rejection of renal transplant - grade I,End Stage Renal Disease,,['Lauren_codelist']
236576005,Acute rejection of renal transplant - grade II,End Stage Renal Disease,,['Lauren_codelist']
236577001,Acute rejection of renal transplant - grade III,End Stage Renal Disease,,['Lauren_codelist']
236578006,Chronic rejection of renal transplant,End Stage Renal Disease,,['Lauren_codelist']
236582008,Acute-on-chronic rejection of renal transplant,End Stage Renal Disease,,['Lauren_codelist']
265764009,Dialysis for 991511000000108 failure,End Stage Renal Disease,,['Lauren_codelist']
277010001,Unexplained episode of renal transplant dysfunction,End Stage Renal Disease,,['Lauren_codelist']
284348003,Excision of rejected transplanted kidney,End Stage Renal Disease,,['Lauren_codelist']
302497006,Thomas intravascular shunt for dialysis,End Stage Renal Disease,,['Lauren_codelist']
399241000000100,[V]Kidney transplanted,End Stage Renal Disease,,['Lauren_codelist']
410511000000103,[V]Aftercare involving extracorporeal dialysis,End Stage Renal Disease,,['Lauren_codelist']
449288005,Infection of dialysis arteriovenous fistula,End Stage Renal Disease,,['Lauren_codelist']
46177005,End stage renal failure,End Stage Renal Disease,,['Lauren_codelist']
70536003,Other specified transplantation of kidney,End Stage Renal Disease,,['Lauren_codelist']
70536003,Transplantation of kidney,End Stage Renal Disease,,['Lauren_codelist']
70536003,Transplantation of kidney NOS,End Stage Renal Disease,,['Lauren_codelist']
711411006,"Allotransplantation of kidney from cadaver, heart-beating",End Stage Renal Disease,,['Lauren_codelist']
843691000000100,Urological complication of renal transplant,End Stage Renal Disease,,['Lauren_codelist']
846461000000102,Ruptured aneurysm of dialysis vascular access,End Stage Renal Disease,,['Lauren_codelist']
846671000000106,Aneurysm of superficialised artery of dialysis AV fistula,End Stage Renal Disease,,['Lauren_codelist']
853631000000103,Stenosis of dialysis vascular access,End Stage Renal Disease,,['Lauren_codelist']
88797001,"Kidney transplant with complication, without blame",End Stage Renal Disease,,['Lauren_codelist']
