SnomedCTConceptId,Term,Disease,Otherinstructions,origin
175881006,Revascularisation for impotence,Erectile Dysfunction,,['Lauren_codelist']
175886001,Ligation of penile veins for impotence,Erectile Dysfunction,,['Lauren_codelist']
176566004,Penile injection to produce erection,Erectile Dysfunction,,['Lauren_codelist']
198036002,Impotence of organic origin,Erectile Dysfunction,,['Lauren_codelist']
248773007,Cannot get an erection,Erectile Dysfunction,,['Lauren_codelist']
248779006,Cannot sustain an erection,Erectile Dysfunction,,['Lauren_codelist']
268723003,[X]Failure of genital response,Erectile Dysfunction,,['Lauren_codelist']
397803000,Erectile dysfunction,Erectile Dysfunction,,['Lauren_codelist']
397803000,Impotence,Erectile Dysfunction,,['Lauren_codelist']
473327001,C/O erectile dysfunction,Erectile Dysfunction,,['Lauren_codelist']
71588001,Operations on penis for erectile dysfunction NEC,Erectile Dysfunction,,['Lauren_codelist']
851081000000105,Treatment of erectile dysfunction NEC,Erectile Dysfunction,,['Lauren_codelist']
