SnomedCTConceptId,Term,Disease,Otherinstructions,origin
11597004,Uterine prolapse without vaginal wall prolapse,Female genital Prolapse,,['Lauren_codelist']
11597004,Uterine prolapse without vaginal wall prolapse NOS,Female genital Prolapse,,['Lauren_codelist']
13910004,Anterior and posterior colporrhaphy NEC,Female genital Prolapse,,['Lauren_codelist']
13910004,Anterior and posterior repair,Female genital Prolapse,,['Lauren_codelist']
171456005,Other specified repair of vault of vagina,Female genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina,Female genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina NOS,Female genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina using abdominal approach NEC,Female genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina using vaginal approach NEC,Female genital Prolapse,,['Lauren_codelist']
171456005,Suspension of vagina NEC,Female genital Prolapse,,['Lauren_codelist']
176697007,Colporrhaphy and amputation of cervix uteri,Female genital Prolapse,,['Lauren_codelist']
176697007,Repair of vaginal prolapse & amputation of cervix uteri NOS,Female genital Prolapse,,['Lauren_codelist']
176697007,Repair of vaginal prolapse & amputation of cervix uteri OS,Female genital Prolapse,,['Lauren_codelist']
176697007,Repair of vaginal prolapse and amputation of cervix uteri,Female genital Prolapse,,['Lauren_codelist']
176699005,Posterior colporrhaphy and amputation of cervix uteri NEC,Female genital Prolapse,,['Lauren_codelist']
176712005,Repair vaginal vault combined abdominal & vaginal approach,Female genital Prolapse,,['Lauren_codelist']
176716008,Sacrocolpopexy,Female genital Prolapse,,['Lauren_codelist']
176725002,Insertion of Hodge pessary into vagina,Female genital Prolapse,,['Lauren_codelist']
176726001,Insertion of ring into vagina,Female genital Prolapse,,['Lauren_codelist']
176726001,Insertion of ring pessary into vagina,Female genital Prolapse,,['Lauren_codelist']
18973006,"Uterovaginal prolapse, unspecified",Female genital Prolapse,,['Lauren_codelist']
198268002,"Uterovaginal prolapse, incomplete",Female genital Prolapse,,['Lauren_codelist']
227981000000105,Paravaginal repair,Female genital Prolapse,,['Lauren_codelist']
236857000,Colpoperineorrhaphy,Female genital Prolapse,,['Lauren_codelist']
236859002,Sacrospinous fixation of vaginal vault,Female genital Prolapse,,['Lauren_codelist']
236865002,Removal of ring pessary from vagina,Female genital Prolapse,,['Lauren_codelist']
238034001,Colporrhaphy,Female genital Prolapse,,['Lauren_codelist']
238034001,Other repair of vaginal prolapse,Female genital Prolapse,,['Lauren_codelist']
238034001,Other repair of vaginal prolapse NOS,Female genital Prolapse,,['Lauren_codelist']
238034001,Other specified other repair of vaginal prolapse,Female genital Prolapse,,['Lauren_codelist']
24893009,Removal of supporting pessary from vagina,Female genital Prolapse,,['Lauren_codelist']
24976005,Descens uteri,Female genital Prolapse,,['Lauren_codelist']
252005008,Cystocele,Female genital Prolapse,,['Lauren_codelist']
302371001,McCall repair of enterocele,Female genital Prolapse,,['Lauren_codelist']
302371001,Repair of enterocele NEC,Female genital Prolapse,,['Lauren_codelist']
314487008,Anterior colporrhaphy with mesh reinforcement,Female genital Prolapse,,['Lauren_codelist']
314487008,Anterior mesh vaginal repair,Female genital Prolapse,,['Lauren_codelist']
31591008,Change of vaginal pessary,Female genital Prolapse,,['Lauren_codelist']
31591008,Renewal of supporting pessary in vagina,Female genital Prolapse,,['Lauren_codelist']
354737001,Vaginal prolapse unspecified without uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
354737001,Vaginal prolapse without uterine prolapse NOS,Female genital Prolapse,,['Lauren_codelist']
354737001,Vaginal wall prolapse without uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
355736000,Acquired vaginal enterocele,Female genital Prolapse,,['Lauren_codelist']
367444000,Colporrhaphy NEC,Female genital Prolapse,,['Lauren_codelist']
386631003,Moschowitz repair of enterocele,Female genital Prolapse,,['Lauren_codelist']
397823004,Posterior colporrhaphy NEC,Female genital Prolapse,,['Lauren_codelist']
397823004,Posterior repair,Female genital Prolapse,,['Lauren_codelist']
398061002,Pelvic enterocele,Female genital Prolapse,,['Lauren_codelist']
398061002,Vaginal enterocele,Female genital Prolapse,,['Lauren_codelist']
398061002,Vaginal enterocele NOS,Female genital Prolapse,,['Lauren_codelist']
39845007,Anterior colporrhaphy NEC,Female genital Prolapse,,['Lauren_codelist']
39845007,Anterior repair,Female genital Prolapse,,['Lauren_codelist']
40421008,Cystocele without uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
413938008,Cystocele with first degree uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
413939000,Cystocele with second degree uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
413940003,Cystocele with third degree uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
413941004,Cystocele with unspecified uterine prolapse,Female genital Prolapse,,['Lauren_codelist']
42116007,Post hysterectomy vaginal vault prolapse,Female genital Prolapse,,['Lauren_codelist']
426193005,Repair of vault of vagina with mesh using vaginal approach,Female genital Prolapse,,['Lauren_codelist']
426573009,Repair of vault of vagina with mesh using abdominal approach,Female genital Prolapse,,['Lauren_codelist']
429574002,Posterior colporrhaphy with mesh reinforcement,Female genital Prolapse,,['Lauren_codelist']
447072005,Female rectocele,Female genital Prolapse,,['Lauren_codelist']
45372001,Introduction of supporting pessary into vagina,Female genital Prolapse,,['Lauren_codelist']
