SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comment
146801000119103,[M]Leiomyoma NOS,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
90955001,[M]Cellular leiomyoma,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
93616000,Mural fibroids,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
95280005,Subserous uterine leiomyoma,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
93616000,Intramural uterine leiomyoma,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
95279007,Submucous uterine leiomyoma,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
95315005,Fibroids,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
95315005,Uterine leiomyoma - fibroids,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
42010004,Excision fibroid,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
95315005,Uterine leiomyoma NOS,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
396341000000101,[M]Leiomyomatous neoplasms,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
461861000000108,[M]Leiomyomatous neoplasm NOS,Fibroids,,['Lauren_codelist'],Laurens instruction to add this Benign tumour
