SnomedCTConceptId,Term,Disease,Otherinstructions,origin
197501000000104,Hearing disability,Hearing loss,,['efi']
198061000000105,Uses hearing loop,Hearing loss,,['Lauren_codelist']
118230007,Other specified forms of hearing loss,Hearing loss,,['Lauren_codelist']
15188001,Deafness,Hearing loss,,['Lauren_codelist' 'Lauren_codelist']
15188001,Deafness (& symptom),Hearing loss,,['efi']
15188001,Hearing impairment,Hearing loss,,['Lauren_codelist']
15188001,Hearing loss,Hearing loss,,['Lauren_codelist']
15188001,[X]Other specified hearing loss,Hearing loss,,['Lauren_codelist']
162340000,Hearing difficulty,Hearing loss,,['efi']
162342008,Unilateral deafness,Hearing loss,,['efi']
162342008,Unilateral deafness,Hearing loss,,['Lauren_codelist']
162344009,Bilateral deafness,Hearing loss,,['efi']
162344009,Bilateral deafness,Hearing loss,,['Lauren_codelist']
164061000,O/E - significantly deaf,Hearing loss,,['Lauren_codelist']
164062007,O/E - very deaf,Hearing loss,,['Lauren_codelist']
164063002,O/E - completely deaf,Hearing loss,,['Lauren_codelist']
164068006,O/E -tune fork=conductive deaf,Hearing loss,,['efi']
164069003,O/E - perceptive deafness,Hearing loss,,['Lauren_codelist']
164069003,O/E tune fork=perceptive deaf,Hearing loss,,['efi']
164070002,O/E - High tone deafness,Hearing loss,,['efi']
164750000,Audiogram bilateral abnormality,Hearing loss,,['efi']
183123004,Provide head worn hearing aid,Hearing loss,,['Lauren_codelist']
183124005,Provide body worn hearing aid,Hearing loss,,['Lauren_codelist']
183125006,Ear fitting hearing aid,Hearing loss,,['Lauren_codelist']
183126007,Replace hearing aid battery,Hearing loss,,['Lauren_codelist']
183280009,Deafness remedial therapy,Hearing loss,,['efi']
183280009,Deafness remedial therapy,Hearing loss,,['Lauren_codelist']
183280009,Deafness remedial therapy NOS,Hearing loss,,['Lauren_codelist']
183839009,Refer for audiometry,Hearing loss,,['efi']
183853009,Refer to hearing aid clinic,Hearing loss,,['efi']
183854003,Referral to audiology clinic,Hearing loss,,['efi']
186570004,Rubella deafness,Hearing loss,,['Lauren_codelist']
194413008,Conductive hearing loss due to disorder of external ear,Hearing loss,,['Lauren_codelist']
194414002,Conductive hearing loss due to disorder of tympanic membrane,Hearing loss,,['Lauren_codelist']
194415001,Conductive hearing loss due to disorder of middle ear,Hearing loss,,['Lauren_codelist']
194416000,Conductive hearing loss due to disorder of inner ear,Hearing loss,,['Lauren_codelist']
194417009,"Conductive hearing loss, bilateral",Hearing loss,,['Lauren_codelist']
194419007,Combined conductive hearing loss,Hearing loss,,['Lauren_codelist']
194424005,"Sensorineural hearing loss, bilateral",Hearing loss,,['efi']
194424005,"Sensorineural hearing loss, bilateral",Hearing loss,,['Lauren_codelist']
194426007,Combined perceptive hearing loss,Hearing loss,,['Lauren_codelist']
194429000,"Mixed conductive and sensorineural hearing loss, bilateral",Hearing loss,,['Lauren_codelist']
