SnomedCTConceptId,Term,Disease,Otherinstructions,origin
162271007,Felt faint,Hypotension / syncope,,['efi']
163020007,O/E - blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
163030003,O/E - Systolic BP reading,Hypotension / syncope,3 readings less than 90 EVER,['efi']
163031004,O/E - Diastolic BP reading,Hypotension / syncope,3 readings less than 60 EVER,['efi']
163033001,Lying blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
163034007,Standing blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
163035008,Sitting blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
195506001,Idiopathic hypotension,Hypotension / syncope,,['efi']
198081000000101,Ambulatory systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
198091000000104,Ambulatory diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
230664009,Sympathotonic orthostatic hypotension,Hypotension / syncope,,['efi']
234171009,Drug-induced hypotension,Hypotension / syncope,,['efi']
241727003,Induced hypotension,Hypotension / syncope,,['efi']
248229009,Vasovagal symptom,Hypotension / syncope,,['efi']
270891002,Had a collapse,Hypotension / syncope,,['efi']
271594007,[D]Syncope and collapse,Hypotension / syncope,,['efi']
271787007,[D]Collapse,Hypotension / syncope,,['efi']
271870002,[D]Low blood pressure reading,Hypotension / syncope,,['efi']
28651003,Orthostatic hypotension,Hypotension / syncope,,['efi']
307280005,Implantation of cardiac pacemaker system NEC,Hypotension / syncope,,['efi']
309585006,[D]Syncope and collapse,Hypotension / syncope,,['efi']
314449000,Average 24 hour systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
314462001,Average 24 hour diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
335661000000109,Self measured blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
386705008,[D]Light-headedness,Hypotension / syncope,,['efi']
398652001,[D]Vasovagal attack,Hypotension / syncope,,['efi']
398665005,Syncope/vasovagal faint,Hypotension / syncope,,['efi']
400974009,Standing systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
400975005,Standing diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
407554009,Sitting systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
407555005,Sitting diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
407556006,Lying systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
407557002,Lying diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
407645004,Dizziness on standing up,Hypotension / syncope,,['efi']
413605002,Average home diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
413606001,Average home systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
45007003,Hypotension,Hypotension / syncope,,['efi']
472960000,History of hypotension,Hypotension / syncope,,['efi']
501631000000108,[D]Low blood pressure reading,Hypotension / syncope,,['efi']
718685006,Parkinsonism with orthostatic hypotension,Hypotension / syncope,,['efi']
77545000,Chronic hypotension,Hypotension / syncope,,['efi']
11060002,Peripheral autonomic neuropathy due to disease NOS,Hypotension / syncope,,['Lauren_codelist']
128123007,Peripheral autonomic neuropathy disease EC,Hypotension / syncope,,['Lauren_codelist']
128200000,Complex regional pain syndrome,Hypotension / syncope,,['Lauren_codelist']
129618003,Autonomic dysreflexia,Hypotension / syncope,,['Lauren_codelist']
15241006,Autonomic nervous system disorder NOS,Hypotension / syncope,,['Lauren_codelist']
15241006,Autonomic nervous system disorders,Hypotension / syncope,,['Lauren_codelist']
15241006,[X]Autonomic neuropathy/endocrine+metabolic diseases CE,Hypotension / syncope,,['Lauren_codelist']
15241006,[X]Other disordrs/autonomic nervous system/other diseases CE,Hypotension / syncope,,['Lauren_codelist']
15743005,Sudek's atrophy,Hypotension / syncope,,['Lauren_codelist']
164018003,O/E - Horner's syndrome,Hypotension / syncope,,['Lauren_codelist']
192915005,Cervical sympathetic paralysis,Hypotension / syncope,,['Lauren_codelist']
192918007,Autonomic neuropathy due to amyloid,Hypotension / syncope,,['Lauren_codelist']
203493003,Algodystrophy of hand,Hypotension / syncope,,['Lauren_codelist']
203494009,Algodystrophy of knee,Hypotension / syncope,,['Lauren_codelist']
203495005,Algodystrophy of foot,Hypotension / syncope,,['Lauren_codelist']
2103002,Shoulder-hand syndrome,Hypotension / syncope,,['Lauren_codelist']
271730003,Horner's syndrome,Hypotension / syncope,,['Lauren_codelist']
271730003,[X] Horners syndrome,Hypotension / syncope,,['Lauren_codelist']
29159009,Familial dysautonomia,Hypotension / syncope,,['Lauren_codelist']
29159009,Riley - Day syndrome,Hypotension / syncope,,['Lauren_codelist']
408751001,Complex regional pain syndrome type II,Hypotension / syncope,,['Lauren_codelist']
50620007,Autonomic neuropathy due to diabetes,Hypotension / syncope,,['Lauren_codelist']
50642008,Algodystrophy,Hypotension / syncope,,['Lauren_codelist']
50642008,Algoneurodystrophy,Hypotension / syncope,,['Lauren_codelist']
50642008,Algoneurodystrophy NOS,Hypotension / syncope,,['Lauren_codelist']
50642008,Complex regional pain syndrome type I,Hypotension / syncope,,['Lauren_codelist']
50642008,Reflex sympathetic dystrophy,Hypotension / syncope,,['Lauren_codelist' 'Lauren_codelist']
51723007,Carotid sinus syndrome,Hypotension / syncope,,['Lauren_codelist']
84438001,Autonomic failure,Hypotension / syncope,,['Lauren_codelist']
86489003,Idiopathic peripheral autonomic neuropathy,Hypotension / syncope,,['Lauren_codelist']
86489003,Idiopathic peripheral autonomic neuropathy NOS,Hypotension / syncope,,['Lauren_codelist']
29159009,Riley - Day syndrome,Hypotension / syncope,,['Lauren_codelist']
51723007,Carotid sinus syndrome,Hypotension / syncope,,['Lauren_codelist']
