SnomedCTConceptId,Term,Disease,Otherinstructions,origin
103075007,Deficiency of humoral immunity NOS,Immunodeficiencies,,['Lauren_codelist']
103075007,Dysimmunoglobulinaemia NEC,Immunodeficiencies,,['Lauren_codelist']
103075007,Other specified deficiency of humoral immunity,Immunodeficiencies,,['Lauren_codelist']
119249001,Agammaglobulinaemia,Immunodeficiencies,,['Lauren_codelist']
119249001,Agammaglobulinaemia NEC,Immunodeficiencies,,['Lauren_codelist']
119250001,Hypogammaglobulinaemia NOS,Immunodeficiencies,,['Lauren_codelist']
190979003,Selective IgA immunodeficiency,Immunodeficiencies,,['Lauren_codelist']
190980000,Selective IgM immunodeficiency,Immunodeficiencies,,['Lauren_codelist']
190981001,Selective IgG immunodeficiency,Immunodeficiencies,,['Lauren_codelist']
190986006,Antibod def wth nr-norm imunoglob/or wth hyperimunoglobaemia,Immunodeficiencies,,['Lauren_codelist']
190996002,Severe combined immunodefiency with reticular dysgenesis,Immunodeficiencies,,['Lauren_codelist']
191001007,Major histocompatibility complex class I deficiency,Immunodeficiencies,,['Lauren_codelist']
191002000,Major histocompatibility complex class II deficiency,Immunodeficiencies,,['Lauren_codelist']
191008001,Immunodef follow hereditary defect respon Epstein-Barr vir,Immunodeficiencies,,['Lauren_codelist']
191018006,Lymphocyte function antigen-1 defect,Immunodeficiencies,,['Lauren_codelist']
203592006,Swiss type agammaglobulinaemia,Immunodeficiencies,,['Lauren_codelist']
23238000,Common variable immunodeficiency,Immunodeficiencies,,['Lauren_codelist']
234532001,Unspecified immunity deficiency,Immunodeficiencies,,['Lauren_codelist']
234532001,[X]Other common variable immunodeficiencies,Immunodeficiencies,,['Lauren_codelist']
234532001,[X]Other immunodeficiencies+predominantly antibody defects,Immunodeficiencies,,['Lauren_codelist']
234532001,[X]Other specified immunodeficiency disorders,Immunodeficiencies,,['Lauren_codelist']
234535004,Other selective immunoglobulin deficiency,Immunodeficiencies,,['Lauren_codelist']
25109007,Immunodeficiency with short-limbed stature,Immunodeficiencies,,['Lauren_codelist']
267459007,Deficiencies of humoral immunity,Immunodeficiencies,,['Lauren_codelist']
267460002,Congenital hypogammaglobulinaemia,Immunodeficiencies,,['Lauren_codelist']
31323000,Combined immunity deficiency NOS,Immunodeficiencies,,['Lauren_codelist']
31323000,Severe combined immunodeficiency,Immunodeficiencies,,['Lauren_codelist']
36070007,Wiskott - Aldrich syndrome,Immunodeficiencies,,['Lauren_codelist']
398055000,T-lymphocyte deficiency,Immunodeficiencies,,['Lauren_codelist']
398271008,Cellular immunity syndrome,Immunodeficiencies,,['Lauren_codelist']
398293003,Deficiencies of cell-mediated immunity,Immunodeficiencies,,['Lauren_codelist']
398293003,Predominantly T-cell immuno-deficiency NOS,Immunodeficiencies,,['Lauren_codelist']
44940001,Adenosine deaminase deficiency,Immunodeficiencies,,['Lauren_codelist']
50926003,Hyperimmunoglobulin E syndrome,Immunodeficiencies,,['Lauren_codelist']
60743005,Purine nucleoside phosphorylase deficiency,Immunodeficiencies,,['Lauren_codelist']
65880007,Bruton's agammaglobulinaemia,Immunodeficiencies,,['Lauren_codelist']
65880007,Congenital X-linked agammaglobulinaemia,Immunodeficiencies,,['Lauren_codelist']
82286005,Immunodeficiency with IgM hypergammaglobulinaemia,Immunodeficiencies,,['Lauren_codelist']
