SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
129451001,Respiratory bronchiolitis associated interstitial lung disease,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
129458007,Cryptogenic organising pneumonitis,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
196051003,Drug-induced interstitial lung disorders,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
196053000,Chronic drug-induced interstitial lung disorders,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
196125002,Idiopathic fibrosing alveolitis,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
19829001,Lung disease NOS,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
233703007,Interstitial lung disease NEC,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
398726004, Rheumatoid lung,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
427123006,Interstitial lung disease due to collagen vascular disease,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
45157009,Idiopathic fibrosing alveolitis,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
700250006,Idiopathic fibrosing alveolitis,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
711379004,Interstitial lung disease due to connective tissue disease,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
719218000,Cryptogenic organising pneumonitis,Interstitial lung disease,,['efi'],"renamed from ""Respiratory disease"" to ""Interstitial lung disease"""
