SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
413838009,Other chronic ischaemic heart disease,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
443502000,Coronary atherosclerosis,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
233817007,Triple vessel disease of the heart,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
53741008,Coronary artery disease,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
194842008,Single coronary vessel disease,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
194843003,Double coronary vessel disease,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
194849004,Ischaemic cardiomyopathy,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
233823002,Silent myocardial ischaemia,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
413844008,Chronic coronary insufficiency,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
413844008,Chronic myocardial ischaemia,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
315348000,Asymptomatic coronary heart disease,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
194863005,Atrial septal defect/curr comp folow acut myocardal infarct,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
129574000,Postoperative myocardial infarction,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
311792005,Postoperative transmural myocardial infarction anterior wall,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
311796008,Postoperative subendocardial myocardial infarction,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
129574000,"Postoperative myocardial infarction, unspecified",Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
414545008,Other specified ischaemic heart disease,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
414545008,Ischaemic heart disease NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
408546009,Coronary artery bypass graft occlusion,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
469031000000107,[V]Presence of aortocoronary bypass graft,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
469611000000108,[V]Presence of coronary artery bypass graft,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
469611000000108,[V]Presence of coronary artery bypass graft - CABG,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
194868001,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Coronary artery operations,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Coronary artery bypass graft operations,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
3546002,Saphenous vein graft replacement of coronary artery OS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
3546002,Saphenous vein graft replacement coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other autograft replacement of coronary artery OS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other autograft replacement of coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Connection of other thoracic artery to coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Other specified other open operation on coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Other open operation on coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
11101003,Transluminal balloon angioplasty of coronary artery OS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
11101003,Transluminal balloon angioplasty of coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Other therapeutic transluminal op on coronary artery OS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Repair of coronary artery NEC,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Other specified repair of coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Repair of coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other replacement of coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other specified replacement of coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Replacement of coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other bypass of coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other specified other bypass of coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
232717009,Other bypass of coronary artery NOS,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
31413008,Other specified operations on coronary artery,Ischaemic Heart Disease,,"['efi', 'Lauren_codelist']",
