SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
12368000,Secondary biliary cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
1761006,Biliary cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
1761006,Biliary cirrhosis NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197269008,Acute yellow atrophy,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197276003,Subacute yellow atrophy,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197279005,Cirrhosis and chronic liver disease,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197293003,Diffuse nodular cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197296006,Capsular portal cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197303009,Bacterial portal cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197310003,Biliary cirrhosis of children,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197316009,Portal fibrosis without cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197324004,Liver abscess and chronic liver disease causing sequelae NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197324004,Liver abscess and sequelae of chronic liver disease,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197362001,Toxic liver disease with fibrosis and cirrhosis of liver,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
19943007,Cirrhosis of liver NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
19943007,[X]Other and unspecified cirrhosis of liver,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235856003,Other sequelae of chronic liver disease,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235896001,Infectious cirrhosis NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
266468003,Non-alcoholic cirrhosis NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
266469006,Multilobular portal cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
266470007,Cardiac portal cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
266471006,Juvenile portal cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
271440004,Xanthomatous portal cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
31712002,Primary biliary cirrhosis,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
328383001,Chronic liver disease NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
328383001,Other non-alcoholic chronic liver disease NOS,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
34736002,Chronic passive liver congestion,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
34742003,Portal hypertension,Liver Disease - Other,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
