SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
10295004,Chronic viral hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
170489004,Viral hepatitis carrier,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
170489004,[V]Viral hepatitis carrier,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
186628001,Viral hepatitis C with coma,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
186639003,Chronic viral hepatitis B without delta-agent,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
190944000,Alpha-1-antitrypsin hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197284004,Chronic active hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197284004,Chronic aggressive hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197286002,Recurrent hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197359004,Toxic liver disease with chronic persistent hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197360009,Toxic liver disease with chronic lobular hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
197361008,Toxic liver disease with chronic active hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235858002,Nonspecific reactive hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235869004,Chronic viral hepatitis B with delta-agent,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235871004,[V]Hepatitis B carrier,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235872006,[V]Hepatitis C carrier,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235899008,Hepatic sclerosis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
235901004,Hepatic fibrosis with hepatic sclerosis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
26206000,Viral hepatitis B with coma,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
29633007,Glycogenosis with hepatic cirrhosis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
3738000,Hepatitis in viral diseases EC,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
41889008,Chronic persistent hepatitis,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
429721005,History of hepatitis B,Liver Disease - Viral,,['Lauren_codelist'],"Newly added after splitting condition ""Chronic Liver disease And Viral hepatitis"" and Disease name is given by DynAIRx-Asra after Sam Discussion"
