SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments,
18695008,Drusen,Macular Disorders,,['Lauren_codelist'],,
232067008,Retinal pigment epithelial detachment,Macular Disorders,,['Lauren_codelist'],,
247153005,Retinal drusen,Macular Disorders,,['Lauren_codelist'],,
267611002,Degeneration of macula and posterior pole,Macular Disorders,,['Lauren_codelist'],,
267611002,Degeneration of macula or posterior pole NOS,Macular Disorders,,['Lauren_codelist'],,
267718000,Senile macular degeneration,Macular Disorders,,['Lauren_codelist'],,
267718000,Unspecified senile macular degeneration,Macular Disorders,,['Lauren_codelist'],,
414173003,Wet senile macular degeneration,Macular Disorders,,['Lauren_codelist'],,
414875008,Dry senile macular degeneration,Macular Disorders,,['Lauren_codelist'],,
50165004,Retinal pigment epithelium haemorrhagic detachment,Macular Disorders,,['Lauren_codelist'],,
52002008,Retinal pigment epithelium serous detachment,Macular Disorders,,['Lauren_codelist'],,
193387007,Cystoid macular oedema,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
231910004,Macular keratitis NOS,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
232006002,Degeneration macular due to cyst &/or hole &/or pseudohole,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
247121001,Macular branch retinal vein occlusion,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
247145002,Atrophic macular change,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
247147005,Macular diffuse atrophy,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
247158001,Macular pigment epithelial detachment,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
247161000,Macular subretinal haemorrhage,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
247163002,Macular subretinal fibrosis,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
267612009,Cystoid macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312702001,Full thickness macular hole stage II,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312703006,Full thickness macular hole stage III,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312704000,Full thickness macular hole stage IV,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312898002,Myopic macular degeneration,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312902008,Macular pseudohole,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312911008,Clinically significant macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312920004,Postoperative cystoid macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312922007,Uveitis related cystoid macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
312999006,Macular disorder,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
314427006,Drusen plus pigment change stage macular degeneration,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
37231002,Macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
414892004,O/E - left eye clinically significant macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
414908005,O/E - right eye clinically significant macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
42031001,Macular focal chorioretinitis,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
422338006,Unspecified senile macular degeneration,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
430801000124103,Other proliferative retinopathy,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
769221001,O/E - right eye clinically significant macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
769222008,O/E - left eye clinically significant macular oedema,Macular Disorders,,['efi'],not sure moved from Visual Impairment Macular,
90036004,Vitelliform macular dystrophy,Macular Disorders,,['efi'],double check moved from Visual Impairment Macular,
15250008,Macular keratitis NOS,Macular Disorders,,['efi'],Double Check,
18410006,Other macular scars,Macular Disorders,,['efi'],double check moved from Visual Impairment Other,
232045007,Hemispheric retinal vein occlusion with macular oedema,Macular Disorders,,['efi'],double check moved from Visual Impairment Other,
232049001,Adult vitelliform macular dystrophy,Macular Disorders,,['efi'],double check moved from Visual Impairment Other,
