SnomedCTConceptId,Term,Disease,Otherinstructions,origin
162690006,O/E - obese,Obesity,,['Lauren_codelist']
162864005,Body mass index 30+ - obesity,Obesity,,['Lauren_codelist' 'efi']
170794003,Initial obesity assessment,Obesity,,['Lauren_codelist']
170795002,Follow-up obesity assessment,Obesity,,['Lauren_codelist']
170797005,Has seen dietician - obesity,Obesity,,['Lauren_codelist']
170798000,Treatment of obesity changed,Obesity,,['Lauren_codelist']
170799008,Treatment of obesity started,Obesity,,['Lauren_codelist']
170807005,Reason for obesity therapy - occupational,Obesity,,['Lauren_codelist']
173911002,Bypass of jejunum NOS,Obesity,,['Lauren_codelist']
173911002,Other specified bypass of jejunum,Obesity,,['Lauren_codelist']
185741002,Attends obesity monitoring,Obesity,,['Lauren_codelist']
185742009,Refuses obesity monitoring,Obesity,,['Lauren_codelist']
185743004,Obesity monitoring default,Obesity,,['Lauren_codelist']
185750000,Obesity monitoring check done,Obesity,,['Lauren_codelist']
190965006,Drug-induced obesity,Obesity,,['Lauren_codelist']
190966007,Extreme obesity with alveolar hypoventilation,Obesity,,['Lauren_codelist']
190966007,Obesity hypoventilation syndrome,Obesity,,['Lauren_codelist']
190966007,Pickwickian syndrome,Obesity,,['Lauren_codelist' 'Lauren_codelist']
238134004,Generalised obesity,Obesity,,['Lauren_codelist']
238136002,Morbid obesity,Obesity,,['Lauren_codelist']
248311001,Central obesity,Obesity,,['Lauren_codelist']
268522006,Obesity monitoring,Obesity,,['Lauren_codelist']
268522006,Obesity monitoring NOS,Obesity,,['Lauren_codelist']
294493008,Lifelong obesity,Obesity,,['Lauren_codelist']
296526005,Adult-onset obesity,Obesity,,['Lauren_codelist']
301331008,Body Mass Index,Obesity,"BMI 30+ = obesity, BMI <18.5 Underweight",['efi']
302872003,Obesity and other hyperalimentation,Obesity,,['Lauren_codelist']
310252000,Body mass index less than 20,Obesity,,['efi']
408512008,BMI 40+ - severely obese,Obesity,,['efi']
408512008,Body mass index 40+ - severely obese,Obesity,,['Lauren_codelist']
414916001,Obesity,Obesity,,['Lauren_codelist']
414916001,[X]Obesity and other hyperalimentation,Obesity,,['Lauren_codelist']
414916001,[X]Other obesity,Obesity,,['Lauren_codelist']
415530009,Obesity due to excess calories,Obesity,,['Lauren_codelist']
415530009,Simple obesity NOS,Obesity,,['Lauren_codelist']
416321000000103,Obesity and other hyperalimentation NOS,Obesity,,['Lauren_codelist']
426559000,Removal of gastric band,Obesity,,['Lauren_codelist']
427090001,Body mass index less than 16.5,Obesity,,['efi']
441901000000108,[V]Dietary counselling in obesity,Obesity,,['Lauren_codelist']
443371000124107,Obese class I,Obesity,,['efi']
443381000124105,Obese class II,Obesity,,['efi']
60621009,Body Mass Index,Obesity,"BMI 30+ = obesity, BMI <18.5 Underweight",['efi']
713951000000106,Obesity monitoring admin.,Obesity,,['Lauren_codelist']
713951000000106,Obesity monitoring admin.NOS,Obesity,,['Lauren_codelist']
713971000000102,Obesity clinic administration,Obesity,,['Lauren_codelist']
819948005,Obese class III,Obesity,,['efi']
846931000000101,Baseline body mass index,Obesity,"BMI 30+ = obesity, BMI <18.5 Underweight",['efi']
914721000000105,Obese class I (body mass index 30.0 - 34.9),Obesity,,['efi']
914731000000107,Obese class II (BMI 35.0-39.9),Obesity,,['efi']
914741000000103,Obese cls III (BMI eq/gr 40.0),Obesity,,['efi']
