SnomedCTConceptId,Term,Disease,Otherinstructions,origin
3723001,(Arthropathy NOS) or (arthritis),Osteoarthritis,,['efi']
19063003,Other total prosthetic replacement of knee joint,Osteoarthritis,,['efi']
68449006,Hip arthritis NOS,Osteoarthritis,,['efi']
179342005,Knee joint operations,Osteoarthritis,,['efi']
265170009,Cemented knee arthroplasty (& total (& named variants)),Osteoarthritis,,['efi']
274135002,Arthritis/arthrosis,Osteoarthritis,,['efi']
275554004,H/O: arthritis,Osteoarthritis,,['efi']
307817008,Cemented knee arthroplasty (& total (& named variants)),Osteoarthritis,,['efi']
371081002,Knee arthritis NOS,Osteoarthritis,,['efi']
430698003,Other total prosthetic replacement of knee joint,Osteoarthritis,,['efi']
20243008,Bouchards' nodes,Osteoarthritis,,['Lauren_codelist']
33952002,"Localised osteoarthritis, unspecified",Osteoarthritis,,['Lauren_codelist']
33952002,"Localised osteoarthritis, unspecified, NOS",Osteoarthritis,,['Lauren_codelist']
33952002,"Localised osteoarthritis, unspecified, of the lower leg",Osteoarthritis,,['Lauren_codelist']
33952002,"Localised osteoarthritis, unspecified, of the upper arm",Osteoarthritis,,['Lauren_codelist']
33952002,"Localised osteoarthritis, unspecified, of unspecified site",Osteoarthritis,,['Lauren_codelist']
36186002,[X]Other polyarthrosis,Osteoarthritis,,['Lauren_codelist']
37895003,"Arthrosis of first carpometacarpal joint, unspecified",Osteoarthritis,,['Lauren_codelist']
37895003,Thumb osteoarthritis NOS,Osteoarthritis,,['Lauren_codelist']
43270005,"Localised osteoarthritis, unspecified, of the forearm",Osteoarthritis,,['Lauren_codelist']
55176002,Coxae malum senilis,Osteoarthritis,,['Lauren_codelist']
164455009,O/E - hands - Heberden's nodes,Osteoarthritis,,['Lauren_codelist']
201825001,Secondary multiple arthrosis,Osteoarthritis,,['Lauren_codelist']
201827009,Heberden's nodes with arthropathy,Osteoarthritis,,['Lauren_codelist']
201829007,"Localised, primary osteoarthritis",Osteoarthritis,,['Lauren_codelist']
201829007,"Localised, primary osteoarthritis NOS",Osteoarthritis,,['Lauren_codelist']
201829007,"Localised, primary osteoarthritis of other specified site",Osteoarthritis,,['Lauren_codelist']
201829007,"Localised, primary osteoarthritis of the lower leg",Osteoarthritis,,['Lauren_codelist']
201829007,"Localised, primary osteoarthritis of unspecified site",Osteoarthritis,,['Lauren_codelist']
201831003,"Localised, primary osteoarthritis of the shoulder region",Osteoarthritis,,['Lauren_codelist']
201834006,"Localised, primary osteoarthritis of the hand",Osteoarthritis,,['Lauren_codelist']
201835007,"Localised, primary osteoarthritis of the pelvic region/thigh",Osteoarthritis,,['Lauren_codelist']
201837004,"Localised osteoarthritis, unspecified, of the ankle and foot",Osteoarthritis,,['Lauren_codelist']
201837004,"Localised, primary osteoarthritis of the ankle and foot",Osteoarthritis,,['Lauren_codelist']
201837004,"Osteoarthritis NOS, of ankle and foot",Osteoarthritis,,['Lauren_codelist']
201839001,"Primary coxarthrosis, bilateral",Osteoarthritis,,['Lauren_codelist']
201840004,"Coxarthrosis resulting from dysplasia, bilateral",Osteoarthritis,,['Lauren_codelist']
201841000,"Primary gonarthrosis, bilateral",Osteoarthritis,,['Lauren_codelist']
201842007,"Primary arthrosis of first carpometacarpal joints, bilateral",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis NOS",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis of other specified site",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis of the forearm",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis of the lower leg",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis of the upper arm",Osteoarthritis,,['Lauren_codelist']
201847001,"Localised, secondary osteoarthritis of unspecified site",Osteoarthritis,,['Lauren_codelist']
201849003,"Localised, secondary osteoarthritis of the shoulder region",Osteoarthritis,,['Lauren_codelist']
201852006,"Localised, secondary osteoarthritis of the hand",Osteoarthritis,,['Lauren_codelist']
201855008,"Localised, secondary osteoarthritis of the ankle and foot",Osteoarthritis,,['Lauren_codelist']
239863005,Osteoarthritis of spinal facet joint,Osteoarthritis,,['Lauren_codelist']
239865003,"Osteoarthritis NOS, of acromioclavicular joint",Osteoarthritis,,['Lauren_codelist']
239866002,"Osteoarthritis NOS, of elbow",Osteoarthritis,,['Lauren_codelist']
239867006,"Osteoarthritis NOS, of wrist",Osteoarthritis,,['Lauren_codelist']
239868001,Finger osteoarthritis NOS,Osteoarthritis,,['Lauren_codelist']
239870005,"Osteoarthritis NOS, of PIP joint of finger",Osteoarthritis,,['Lauren_codelist']
239874001,Ankle osteoarthritis NOS,Osteoarthritis,,['Lauren_codelist']
239874001,"Osteoarthritis NOS, of ankle",Osteoarthritis,,['Lauren_codelist']
239876004,"Osteoarthritis NOS, of subtalar joint",Osteoarthritis,,['Lauren_codelist']
239878003,Toe osteoarthritis NOS,Osteoarthritis,,['Lauren_codelist']
267889007,Generalised osteoarthritis of the hand,Osteoarthritis,,['Lauren_codelist']
268054009,"Oligoarticular osteoarthritis, unspec, of unspecified sites",Osteoarthritis,,['Lauren_codelist']
268054009,"Oligoarticular osteoarthritis, unspecified",Osteoarthritis,,['Lauren_codelist']
268054009,"Osteoarthritis of more than one site, unspecified, NOS",Osteoarthritis,,['Lauren_codelist']
275324008,"Osteoarthritis NOS, of MCP joint",Osteoarthritis,,['Lauren_codelist']
309246000,Foot osteoarthritis NOS,Osteoarthritis,,['Lauren_codelist']
313257005,"Localised, primary osteoarthritis of the forearm",Osteoarthritis,,['Lauren_codelist']
313257005,"Localised, primary osteoarthritis of the wrist",Osteoarthritis,,['Lauren_codelist']
313258000,"Localised, primary osteoarthritis of toe",Osteoarthritis,,['Lauren_codelist']
313259008,"Localised, primary osteoarthritis of elbow",Osteoarthritis,,['Lauren_codelist']
313259008,"Localised, primary osteoarthritis of the upper arm",Osteoarthritis,,['Lauren_codelist']
371598009,Heberdens' nodes,Osteoarthritis,,['Lauren_codelist']
445478004,"Osteoarthritis NOS, pelvic region/thigh",Osteoarthritis,,['Lauren_codelist']
450521003,Patellofemoral osteoarthritis,Osteoarthritis,,['Lauren_codelist']
700324005,"Osteoarthritis NOS, of talonavicular joint",Osteoarthritis,,['Lauren_codelist']
444561000000102,[X]Arthrosis,Osteoarthritis,,['Lauren_codelist']
444561000000102,[X]Other dysplastic coxarthrosis,Osteoarthritis,,['Lauren_codelist']
444561000000102,[X]Other primary arthrosis of first carpometacarpal joint,Osteoarthritis,,['Lauren_codelist']
444561000000102,[X]Other primary coxarthrosis,Osteoarthritis,,['Lauren_codelist']
444561000000102,[X]Other secondary coxarthrosis,Osteoarthritis,,['Lauren_codelist']
444561000000102,"[X]Other secondary coxarthrosis, bilateral",Osteoarthritis,,['Lauren_codelist']
444561000000102,[X]Other secondary gonarthrosis,Osteoarthritis,,['Lauren_codelist']
444561000000102,"[X]Other secondary gonarthrosis, bilateral",Osteoarthritis,,['Lauren_codelist']
850791000000102,"Osteoarthritis NOS, of sternoclavicular joint",Osteoarthritis,,['Lauren_codelist']
161568003,H/O: osteoarthritis,Osteoarthritis,,['efi']
161568003,H/O: osteoarthritis,Osteoarthritis,,['Lauren_codelist']
201819000,Generalised osteoarthritis NOS,Osteoarthritis,,['Lauren_codelist']
201819000,Generalised osteoarthritis of unspecified site,Osteoarthritis,,['Lauren_codelist']
201819000,Generalised osteoarthritis,Osteoarthritis,,['efi']
22193007,"Osteoarthritis NOS, of the hand",Osteoarthritis,,['efi']
22193007,"Localised osteoarthritis, unspecified, of the hand",Osteoarthritis,,['Lauren_codelist']
22193007,"Oligoarticular osteoarthritis, unspecified, of hand",Osteoarthritis,,['Lauren_codelist']
