SnomedCTConceptId,Term,Disease,Otherinstructions,origin
102447009,Postmenopausal osteoporosis,Osteoporosis,,['Lauren_codelist' 'efi']
14651005,Drug - induced osteoporosis,Osteoporosis,,['efi']
14651005,Drug-induced osteoporosis,Osteoporosis,,['Lauren_codelist']
18040001,Senile osteoporosis,Osteoporosis,,['Lauren_codelist' 'efi']
203429007,Idiopathic generalised osteoporosis,Osteoporosis,,['efi']
203433000,Postoophorectomy osteoporosis,Osteoporosis,,['Lauren_codelist']
203433000,postoophorectomy osteoporosis,Osteoporosis,,['efi']
203434006,Post-surgical malabsorption osteoporosis,Osteoporosis,,['efi']
203435007,Localised osteoporosis - Lequesne,Osteoporosis,,['efi']
203436008,osteoporosis in multiple myelomatosis,Osteoporosis,,['efi']
203437004,Osteoporosis in endocrine disorders,Osteoporosis,,['Lauren_codelist']
203437004,osteoporosis in endocrine disorders,Osteoporosis,,['efi']
203438009,Vertebral osteoporosis,Osteoporosis,,['Lauren_codelist' 'efi']
203444008,Postoophorectomy osteoporosis with pathological fracture,Osteoporosis,,['Lauren_codelist' 'efi']
203445009,Osteoporosis of disuse with pathological fracture,Osteoporosis,,['Lauren_codelist']
203445009,osteoporosis of disuse with pathological fracture,Osteoporosis,,['efi']
203446005,postsurgical malabsorption osteoporosis with path fracture,Osteoporosis,,['efi']
203447001,Drug-induced osteoporosis with pathological fracture,Osteoporosis,,['Lauren_codelist']
203447001,drug-induced osteoporosis with pathological fracture,Osteoporosis,,['efi']
203448006,Idiopathic osteoporosis with pathological fracture,Osteoporosis,,['Lauren_codelist' 'efi']
203450003,Osteoporosis + pathological fracture lumbar vertebrae,Osteoporosis,,['Lauren_codelist']
203450003,Osteoporosis with pathological fracture of lumbar vertebrae,Osteoporosis,,['efi']
203451004,Osteoporosis with pathological fracture thoracic vertebrae,Osteoporosis,,['efi']
203452006,osteoporosis + pathological fracture cervical vertebrae,Osteoporosis,,['efi']
203453001,Postmenopausal osteoporosis with pathological fracture,Osteoporosis,,['Lauren_codelist' 'efi']
203657009,Osteoporotic kyphosis,Osteoporosis,,['Lauren_codelist' 'efi']
240155001,Adult idiopathic generalised osteoporosis,Osteoporosis,,['efi']
240157009,Second general osteoporosis,Osteoporosis,,['efi']
240162005,Secondary localised osteoporosis,Osteoporosis,,['efi']
240198002,Collapse of vertebra due to osteoporosis NOS,Osteoporosis,,['Lauren_codelist']
240198002,collapse of vertebra due to osteoporosis nos,Osteoporosis,,['efi']
268028001,Localised disuse osteoporosis,Osteoporosis,,['efi']
268029009,osteoporotic vertebral collapse,Osteoporosis,,['efi']
276661002,Primary osteoporosis,Osteoporosis,,['efi']
281387004,Regional osteoporosis,Osteoporosis,,['efi']
306171000000106,Fragility fracture,Osteoporosis,,['Lauren_codelist']
306171000000106,Min trau frac due uns osteopor,Osteoporosis,,['efi']
309745002,Osteoporosis localized to spine,Osteoporosis,,['Lauren_codelist']
309745002,osteoporosis localized to spine,Osteoporosis,,['efi']
310254004,Bone densimetry abnormal,Osteoporosis,,['efi']
311806008,Collapse of cervical vertebra due to osteoporosis,Osteoporosis,,['Lauren_codelist']
311806008,collapse of cervical vertebra due to osteoporosis,Osteoporosis,,['efi']
311890007,Collapse of lumbar vertebra due to osteoporosis,Osteoporosis,,['Lauren_codelist']
311890007,collapse of lumbar vertebra due to osteoporosis,Osteoporosis,,['efi']
311891006,Collapse of thoracic vertebra due to osteoporosis,Osteoporosis,,['Lauren_codelist']
311891006,collapse of thoracic vertebra due to osteoporosis,Osteoporosis,,['efi']
312894000,Osteoporosis,Osteoporosis,,['efi']
32369003,postmenopausal osteoporosis,Osteoporosis,,['efi']
390833005,Osteoporosis due to corticosteroids,Osteoporosis,,['Lauren_codelist']
390833005,osteoporosis due to corticosteroids,Osteoporosis,,['efi']
391003008,Osteoporosis monitoring administration,Osteoporosis,,['Lauren_codelist']
391004002,Attends osteoporosis monitoring,Osteoporosis,,['Lauren_codelist' 'efi']
391006000,Osteoporosis monitoring default,Osteoporosis,,['Lauren_codelist' 'efi']
391007009,Osteoporosis monitoring first letter,Osteoporosis,,['Lauren_codelist']
391008004,Osteoporosis monitoring second letter,Osteoporosis,,['Lauren_codelist']
391009007,Osteoporosis monitoring third letter,Osteoporosis,,['Lauren_codelist']
391010002,Osteoporosis monitoring verbal invitation,Osteoporosis,,['Lauren_codelist']
391011003,Osteoporosis monitoring telephone invitation,Osteoporosis,,['Lauren_codelist']
391012005,Osteoporosis monitoring deleted,Osteoporosis,,['Lauren_codelist']
391013000,Osteoporosis monitoring check done,Osteoporosis,,['Lauren_codelist']
391017004,Osteoporosis monitoring,Osteoporosis,,['Lauren_codelist' 'efi']
391020007,Osteoporosis treatment started,Osteoporosis,,['efi']
391021006,Osteoporosis treatment stopped,Osteoporosis,,['efi']
391022004,Osteoporosis treatment changed,Osteoporosis,,['efi']
391023009,Osteoporosis - no treatment,Osteoporosis,,['efi']
391024003,Osteoporosis - dietary advice,Osteoporosis,,['efi']
391025002,Osteoporosis - dietary assessment,Osteoporosis,,['efi']
391026001,Osteoporosis - exercise advice,Osteoporosis,,['efi']
391027005,osteoporosis - falls prevention,Osteoporosis,,['efi']
391028000,osteoporosis - treatment response,Osteoporosis,,['efi']
391030003,osteoporosis - no treatment response,Osteoporosis,,['efi']
391033001,Refer to osteoporosis specialist,Osteoporosis,,['efi']
391037000,Seen in osteoporosis clinic,Osteoporosis,,['efi']
391068001,Hip dual energy X-ray photon absorptiometry scan T score (observable entity),Osteoporosis,"If less than -2.5 (i.e. a higher negative score, for example -3.5)",['efi']
391070005,Hip DXA result osteoporotic,Osteoporosis,,['efi']
391070005,Hip DXA scan result osteoporotic,Osteoporosis,,['Lauren_codelist']
391075000,Lumbar DXA result osteoporotic,Osteoporosis,,['efi']
391075000,Lumbar DXA scan result osteoporotic,Osteoporosis,,['Lauren_codelist']
412717001,Referral to osteoporosis clinic,Osteoporosis,,['efi']
425371000000103,[X]Other osteoporosis with pathological fracture,Osteoporosis,,['Lauren_codelist']
425371000000103,[X]Unspecified osteoporosis with pathological fracture,Osteoporosis,,['Lauren_codelist' 'efi']
440100002,Femor nec DEXA scan osteoporot,Osteoporosis,,['efi']
443165006,Fragility fracture due to unspecified osteoporosis,Osteoporosis,,['Lauren_codelist']
443165006,fragility fracture due to unspecified osteoporosis,Osteoporosis,,['efi']
473120007,History of osteoporosis,Osteoporosis,,['efi']
505171000000102,Bone sparing drug treatment offered for osteoporosis,Osteoporosis,,['efi']
53174001,Dissuse osteoporosis,Osteoporosis,,['Lauren_codelist']
53174001,disuse osteoporosis,Osteoporosis,,['efi']
64859006,Osteoporosis,Osteoporosis,,['Lauren_codelist' 'efi']
64859006,Osteoporosis NOS,Osteoporosis,,['Lauren_codelist']
64859006,"Osteoporosis, unspecified",Osteoporosis,,['Lauren_codelist']
64859006,[X]Osteoporosis in other disorders classified elsewhere,Osteoporosis,,['Lauren_codelist']
64859006,[X]Other osteoporosis,Osteoporosis,,['Lauren_codelist']
753711000000102,exception reporting: osteoporosis quality indicators,Osteoporosis,,['efi']
753791000000106,Excepted osteoporosis quality indicators: patient unsuitable,Osteoporosis,,['efi']
753831000000104,Excepted osteoporosis quality indicators: informed dissent,Osteoporosis,,['efi']
