SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
443694000,Type II diabetes mellitus - poor control,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
443694000,Type 2 diabetes mellitus - poor control,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190390000,Type II diabetes mellitus with gangrene,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190390000,Type 2 diabetes mellitus with gangrene,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190389009,Type II diabetes mellitus with ulcer,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190389009,Type 2 diabetes mellitus with ulcer,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190388001,Type II diabetes mellitus with multiple complications,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190388001,Type 2 diabetes mellitus with multiple complications,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
44054006,Type II diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
44054006,Type 2 diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
426875007,Latent autoimmune diabetes mellitus in adult,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
420486006,Type 1 diabetes mellitus with exudative maculopathy,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
401110002,Type I diabetes mellitus with persistent microalbuminuria,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
71771000119100,Type 1 diabetes mellitus with neuropathic arthropathy,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
314893005,Type 1 diabetes mellitus with arthropathy,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
237632004,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
314771006,Type 1 diabetes mellitus with hypoglycaemic coma,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
111552007,Insulin-dependent diabetes without complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
313435000,Type I diabetes mellitus without complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
313435000,Type 1 diabetes mellitus without complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190372001,Type I diabetes mellitus maturity onset,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190372001,Type 1 diabetes mellitus maturity onset,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
444073006,Type I diabetes mellitus - poor control,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
444073006,Type 1 diabetes mellitus - poor control,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190369008,Type I diabetes mellitus with gangrene,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190369008,Type 1 diabetes mellitus with gangrene,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190368000,Type I diabetes mellitus with ulcer,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190368000,Type 1 diabetes mellitus with ulcer,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
11530004,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
290002008,Unstable type I diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
290002008,Unstable type 1 diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
421893009,Type 1 diabetes mellitus with renal complications,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
73211009,Insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
46635009,Type I diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
46635009,Type 1 diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
237604008,Maturity onset diabetes in youth type 2,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
609562003,Maturity onset diabetes in youth type 1,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
609561005,Maturity onset diabetes in youth,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
609561005,Diabetes mellitus autosomal dominant,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
190406000,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
237599002,Insulin treated non-insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
237599002,Insulin treated Type 2 diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
314903002,Non-insulin dependent diabetes mellitus with arthropathy,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
