SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
443694000,Type II diabetes mellitus - poor control,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
443694000,Type 2 diabetes mellitus - poor control,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190390000,Type II diabetes mellitus with gangrene,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190390000,Type 2 diabetes mellitus with gangrene,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190389009,Type II diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190389009,Type 2 diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190388001,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190388001,Type 2 diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
44054006,Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
44054006,Type 2 diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
237599002,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
237599002,Insulin treated Type 2 diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314903002,Non-insulin dependent diabetes mellitus with arthropathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
313436004,Non-insulin-dependent diabetes mellitus without complication,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
420279001,Type 2 diabetes mellitus with renal complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
420279001,Type II diabetes mellitus with renal complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
420279001,Non-insulin-dependent diabetes mellitus with renal comps,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
44054006,NIDDM - Non-insulin dependent diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
190331003,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
44054006,Non-insulin dependent diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
237599002,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314904008,Type II diabetes mellitus with neuropathic arthropathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314904008,Type 2 diabetes mellitus with neuropathic arthropathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314903002,Type II diabetes mellitus with arthropathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314903002,Type 2 diabetes mellitus with arthropathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314902007,Type II diabetes mellitus with peripheral angiopathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
314902007,Type 2 diabetes mellitus with peripheral angiopathy,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
719216001,Type II diabetes mellitus with hypoglycaemic coma,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
