SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
233823002,Silent myocardial ischaemia,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
129574000,Postoperative myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
311792005,Postoperative transmural myocardial infarction anterior wall,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
311796008,Postoperative subendocardial myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
129574000,"Postoperative myocardial infarction, unspecified",Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
57054005,[X]Acute transmural myocardial infarction of unspecif site,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
194868001,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
57054005,Acute myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
398274000,Coronary thrombosis,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
233847009,Cardiac rupture following myocardial infarction (MI),Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
22298006,Heart attack,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
233843008,Silent myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
70211005,Acute anterolateral infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
54329005,Other specified anterior myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
52035003,Acute anteroapical infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
54329005,Anterior myocardial infarction NOS,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
76593002,Acute inferoposterior infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
233838001,Posterior myocardial infarction NOS,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
58612006,Lateral myocardial infarction NOS,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
194802003,True posterior myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
70422006,Acute subendocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
307140009,Acute non-Q wave infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
401314000,Acute non-ST segment elevation myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
73795002,Inferior myocardial infarction NOS,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
304914007,Acute Q-wave infarct,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
91335003,Mural thrombosis,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
15990001,Acute posterolateral myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
57054005,Acute transmural myocardial infarction of unspecif site,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
401303003,Acute ST segment elevation myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
57054005,Other acute myocardial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
194809007,Acute atrial infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
10273003,Acute papillary muscle infarction,Coronary Heart Disease AND Ischaemic heart disease,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
