SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
195209007,Middle cerebral artery syndrome,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
195210002,Anterior cerebral artery syndrome,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
195211003,Posterior cerebral artery syndrome,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
195213000,Cerebellar stroke syndrome (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
195212005,Brainstem stroke syndrome,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
195216008,Left sided cerebral hemisphere cerebrovascular accident,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
195217004,Right sided CVA,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
230690007,CVA - Cerebrovascular accident,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
275434003,Stroke in the puerperium,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
281240008,Extension of cerebrovascular accident (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined_v3 And ManchesterRichardWilliams_Stroke.csv
