SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
163681009,O/E -Parkinson flexion posture,Parkinsonism & tremor,,['efi'],
230226000,Extrapyramid dis: [excl Parkinson][oth and abn movem disord],Parkinsonism & tremor,,['efi'],
230292008,[X]Other secondary parkinsonism,Parkinsonism & tremor,,['efi'],
230296006,Vascular parkinsonism,Parkinsonism & tremor,,['efi'],
248208000,Parkinsonian facies,Parkinsonism & tremor,,['efi'],
250053004,Parkinsonian ataxia,Parkinsonism & tremor,,['efi'],
268964003,O/E - festination (& [Parkinson gait]),Parkinsonism & tremor,,['efi'],
271704002,Parkinsonian flexion posture,Parkinsonism & tremor,,['efi'],
283875005,Parkinson's disease nurse,Parkinsonism & tremor,,['efi'],
292258003,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
292266007,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
292269000,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
292409004,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
292527003,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
292535000,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
292542000,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
304535004,Parkinsonian features,Parkinsonism & tremor,,['efi'],
312991009,Lewy body disease,Parkinsonism & tremor,,['efi'],"Not sure, Check to confirm"
32798002,Disorders presenting primarily with parkinsonism,Parkinsonism & tremor,,['efi'],
341551000000108,Cerebral degeneration in Parkinson's disease,Parkinsonism & tremor,,['efi'],
38523005,Syphilitic parkinsonism,Parkinsonism & tremor,,['efi'],
408581000000109,Extrapyramid dis: [excl Parkinson][oth and abn movem disord],Parkinsonism & tremor,,['efi'],
4223005,Drug-induced parkinsonism,Parkinsonism & tremor,,['efi'],
430136001,Adverse reaction to antiparkinsonism drug,Parkinsonism & tremor,,['efi'],
447741000000101,[X]Antiparkinsonism drugs caus advers effects in therap use,Parkinsonism & tremor,,['efi'],
49049000,Parkinson's disease,Parkinsonism & tremor,,['efi'],
515841000000104,History of Parkinson's disease,Parkinsonism & tremor,,['efi'],
515851000000101,History of parkinsonism,Parkinsonism & tremor,,['efi'],
76349003,Extrapyramid dis: [excl Parkinson][oth and abn movem disord],Parkinsonism & tremor,,['efi'],
80098002,Lewy body disease,Parkinsonism & tremor,,['efi'],"Not sure, Check to confirm"
49049000,Paralysis agitans,Parkinsonism & tremor,,['Lauren_codelist'],
49049000,Parkinson's disease,Parkinsonism & tremor,,['Lauren_codelist'],
49049000,Parkinson's disease NOS,Parkinsonism & tremor,,['Lauren_codelist'],
