SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111353003,Acute peptic ulcer with haemorrhage and perforation,Peptic ulcer Disease,,['Lauren_codelist']
128286008,Chronic duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
128286008,Chronic duodenal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
128286008,Chronic duodenal ulcer unspecified,Peptic ulcer Disease,,['Lauren_codelist']
128286008,Chronic duodenal ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
128287004,Chronic peptic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
128287004,Chronic peptic ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
128287004,Chronic peptic ulcer unspecified,Peptic ulcer Disease,,['Lauren_codelist']
128287004,Chronic peptic ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
128288009,Chronic gastrojejunal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
12847006,Acute duodenal ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Peptic ulcer - (PU) site unspecified,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Peptic ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Unspecified peptic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Unspecified peptic ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Unspecified peptic ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Unspecified peptic ulcer with haemorrhage and perforation,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Unspecified peptic ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
13200003,Unspecified peptic ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
15902003,Unspecified gastric ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Anastomotic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Gastrojejunal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Stomal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Unspecified gastrojejunal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Unspecified gastrojejunal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Unspecified gastrojejunal ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
16121001,Unspecified gastrojejunal ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
173841001,Closure of gastric ulcer NEC,Peptic ulcer Disease,,['Lauren_codelist']
173841001,Operation on gastric ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
173841001,Operations on gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
173841001,Other specified operation on gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
173841001,Stomach ulcer operations,Peptic ulcer Disease,,['Lauren_codelist']
173842008,Closure of perforated gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
173887007,Operation on duodenal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
173887007,Other specified operation on duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
196632005,Acute gastric ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
196639001,Chronic gastric ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
196652006,Acute duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
196652006,Acute duodenal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
196652006,Acute duodenal ulcer unspecified,Peptic ulcer Disease,,['Lauren_codelist']
196652006,Acute duodenal ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
196658005,Acute duodenal ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
196666001,Chronic duodenal ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
196671008,Recurrent duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
196682000,Acute peptic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
196682000,Acute peptic ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
196682000,Acute peptic ulcer unspecified,Peptic ulcer Disease,,['Lauren_codelist']
196682000,Acute peptic ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
196694009,Chronic peptic ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
196707000,Acute gastrojejunal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
196707000,Acute gastrojejunal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
196775009,Healed gastric ulcer leaving a scar,Peptic ulcer Disease,,['Lauren_codelist']
19850005,Acute gastric ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
22620000,Prepyloric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
24060004,Gastrocolic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
266998003,H/O: peptic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
266998003,[V]Personal history of peptic ulcer,Peptic ulcer Disease,,['Lauren_codelist']
27281001,Unspecified duodenal ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
275547005,H/O: duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
275548000,H/O: gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
307259004,Suture of ulcer of stomach NEC,Peptic ulcer Disease,,['Lauren_codelist']
31301004,Chronic gastric ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
31301004,Perforated chronic gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
313425006,Multiple gastric ulcers,Peptic ulcer Disease,,['Lauren_codelist']
314627002,Endoscopic injection haemostasis of duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
314629004,Endoscopic injection haemostasis of gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
3483000,Chronic peptic ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
36975000,Chronic duodenal ulcer with haemorrhage AND perforation,Peptic ulcer Disease,,['Lauren_codelist']
39204006,Pyloric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
397825006,Gastric ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
397825006,Unspecified gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
397825006,Unspecified gastric ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
397825006,Unspecified gastric ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
412191000000104,[V] Personal history of gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
423643000,Anti-platelet induced duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
424301005,Anti-platelet induced gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
45640006,Chronic gastrojejunal ulcer with haemorrhage AND perforation,Peptic ulcer Disease,,['Lauren_codelist']
48974009,Acute gastric ulcer with haemorrhage AND perforation,Peptic ulcer Disease,,['Lauren_codelist']
49232000,Chronic peptic ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
49916007,Chronic duodenal ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
49916007,Perforated chronic duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
51868009,Duodenal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
51868009,Duodenal ulcer disease,Peptic ulcer Disease,,['Lauren_codelist']
51868009,Unspecified duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
51868009,Unspecified duodenal ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
51868009,Unspecified duodenal ulcer with haemorrhage and perforation,Peptic ulcer Disease,,['Lauren_codelist']
51868009,Unspecified duodenal ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
54822007,Jejunal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
57246001,Bleeding chronic gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
57246001,Chronic gastric ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
6129004,Peptic ulcer of oesophagus,Peptic ulcer Disease,,['Lauren_codelist']
61347001,Acute duodenal ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
62366003,Unspec gastric ulcer; unspec haemorrhage and/or perforation,Peptic ulcer Disease,,['Lauren_codelist']
63954007,Acute gastrojejunal ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
66636001,Acute gastrojejunal ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
79118000,Acute peptic ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
81387001,Acute gastrojejunal ulcer with haemorrhage AND perforation,Peptic ulcer Disease,,['Lauren_codelist']
849591000000103,Unspecified gastric ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
849601000000109,Unspecified duodenal ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
849611000000106,Unspecified peptic ulcer with obstruction,Peptic ulcer Disease,,['Lauren_codelist']
86895006,Acute duodenal ulcer with haemorrhage AND perforation,Peptic ulcer Disease,,['Lauren_codelist']
88968005,Unspecified duodenal ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
89469000,Bleeding chronic duodenal ulcer,Peptic ulcer Disease,,['Lauren_codelist']
89469000,Chronic duodenal ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
89748001,Acute gastric ulcer with haemorrhage,Peptic ulcer Disease,,['Lauren_codelist']
89748001,Bleeding acute gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
95529005,Acute gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
95529005,Acute gastric ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
95529005,Acute gastric ulcer unspecified,Peptic ulcer Disease,,['Lauren_codelist']
95529005,Acute gastric ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
95530000,Chronic gastric ulcer,Peptic ulcer Disease,,['Lauren_codelist']
95530000,Chronic gastric ulcer NOS,Peptic ulcer Disease,,['Lauren_codelist']
95530000,Chronic gastric ulcer unspecified,Peptic ulcer Disease,,['Lauren_codelist']
95530000,Chronic gastric ulcer without mention of complication,Peptic ulcer Disease,,['Lauren_codelist']
9829001,Unspecified gastric ulcer with perforation,Peptic ulcer Disease,,['Lauren_codelist']
111353003,Acute peptic ulcer with haemorrhage and perforation,Peptic ulcer Disease,,['efi']
12274003,Acute peptic ulcer with haemorrhage,Peptic ulcer Disease,,['efi']
128286008,Chronic duodenal ulcer,Peptic ulcer Disease,,['efi']
128287004,Chronic peptic ulcer,Peptic ulcer Disease,,['efi']
12847006,Acute duodenal ulcer with haemorrhage,Peptic ulcer Disease,,['efi']
13200003,Ulcer: [peptic (PU) site unspecified] or [stress NOS],Peptic ulcer Disease,,['efi']
15902003,Unspecified gastric ulcer with haemorrhage,Peptic ulcer Disease,,['efi']
16121001,Ulcer: [gastrojej]/[anast]/[gastrocol]/[jej]/[margin]/[stom],Peptic ulcer Disease,,['efi']
162033007,Peptic ulcer symptoms,Peptic ulcer Disease,,['efi']
173841001,Gastric ulcer operation,Peptic ulcer Disease,,['efi']
173842008,Closure of perforated gastric ulcer,Peptic ulcer Disease,,['efi']
173887007,Duodenal ulcer operation,Peptic ulcer Disease,,['efi']
173889005,Closure of perforated duodenal ulcer,Peptic ulcer Disease,,['efi']
