SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
191496002,Drug-induced personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
31611000,Multiple personality,Personality Disorder,", Time constraint years: 5.0",[efi],
33449004,Personality disorders,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
231526007,Paranoid personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
13601005,Paranoid personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
76105009,Affective personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
191753006,Hypomanic personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
442057004,Depressive personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
386798001,Cyclothymic personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
52954000,Schizoid personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
31027006,Schizotypal personality,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
191765005,Explosive personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
231527003,Explosive personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
286798002,Explosive personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
473456000,Compulsive personality disorders,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
1376001,Compulsive personality disorders,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
55341008,Histrionic personality disorders,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
84466009,Inadequate personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
26665006,Antisocial or sociopathic personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
80711002,Narcissistic personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
37746008,Avoidant personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
20010003,Borderline personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
44966003,Passive-aggressive personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
191772006,Eccentric personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
191773001,Immature personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
191774007,Masochistic personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
268634009,Neurotic personality,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
309711009,Manipulative personality,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
36217008,Organic personality syndrome NOS,Personality Disorder,", Time constraint years: 5.0",[efi],
129606007,[X]Organic personality disorder,Personality Disorder,", Time constraint years: 5.0",[efi],
943161000000107,[X]Disorders of adult personality and behaviour,Personality Disorder,", Time constraint years: 5.0",[efi],
231528008,[X]Anxious [avoidant] personality disorder,Personality Disorder,", Time constraint years: 5.0",['efi' 'liverpool'],
192496000,[X]Enduring personality change not attrib to brain damag/dis,Personality Disorder,", Time constraint years: 5.0",[efi],
268729004,[X]Enduring personality change after catastrophic experience,Personality Disorder,", Time constraint years: 5.0",[efi],
192498004,[X]Enduring personality change after psychiatric illness,Personality Disorder,", Time constraint years: 5.0",[efi],
416631000000105,[X]Other specified disorders of adult personality/behaviour,Personality Disorder,", Time constraint years: 5.0",[efi],
191766006,Psychoinfantile personality,Personality Disorder,,[liverpool],
192097003,Isolated explosive disorder,Personality Disorder,,[liverpool],
473457009,[X]Obsessional personality disorder,Personality Disorder,,[liverpool],
