SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
31541009,"Sarcoidosis (disorder);Sarcoidosis,Sarcoidosis; [X]Sarcoidosis of other and combined sites",Sarcoidosis,,['Lauren_codelist' 'Lauren_codelist' 'Manual SNOMED CT Browser'],"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually; Repeated three times"
55941000,"Cutaneous sarcoidosis (disorder); Sarcoidosis of skin",Sarcoidosis,,['Lauren_codelist' 'Manual SNOMED CT Browser'],"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually; Repeated two times"
37061001,Granulomatous sarcoid nephropathy (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
232368009,Nasal sarcoidosis (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
234526006,Ocular sarcoidosis (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
111937006,"Sarcoidosis,  nodular type (disorder)",Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
238679001,Sarcoidosis in scar (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
24369008,"Pulmonary sarcoidosis (disorder); Pulmonary sarcoidosis; Sarcoidosis of lung",Sarcoidosis,,['Lauren_codelist' 'Lauren_codelist' 'Manual SNOMED CT Browser'],"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually; Repeated three times"
238680003,Papular sarcoidosis (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
1144986007,Annular sarcoidosis (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
75403004,Cardiac sarcoidosis (disorder),Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
1231658004,Sarcoidosis of orbit (disorder) ,Sarcoidosis,,Manual SNOMED CT Browser,"Category name ""Sarcoidosis"" given manually by dividing pulmonary fibrosis categories manually"
