SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
2073000,Delusion,Schizoaffective,,['efi' 'UoM'],
41189006,Ideas of reference,Schizoaffective,,['efi' 'UoM' 'liverpool'],
417233008,Paranoid ideation,Schizoaffective,,['efi' 'UoM' 'liverpool'],
12200008,Poor insight into psychotic condition,Schizoaffective,,['efi' 'liverpool'],
5510009,Organic delusional syndrome,Schizoaffective,,['efi' 'UoM' 'OPTIMAL'],
191525009,Non-organic psychoses,Schizoaffective,,['efi' 'UoM' 'liverpool'],
58214004,Schizophrenic disorders,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
191526005,Schizophrenic disorders,Schizoaffective,,['efi' 'OPTIMAL' 'liverpool'],
191527001,Simple schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
83746006,Chronic schizophrenic,Schizoaffective,,['efi' 'OPTIMAL' 'liverpool'],
191530008,Acute exacerbation of subchronic schizophrenia,Schizoaffective,,['efi' 'liverpool'],
111482003,Acute exacerbation of subchronic schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL'],
191531007,Acute exacerbation of chronic schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
4926007,Schizophrenia in remission,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
35252006,Hebephrenic schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
31373002,Hebephrenic schizophrenia in remission,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
191542003,Catatonic schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
42868002,Subchronic catatonic schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
111483008,Catatonic schizophrenia in remission,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
64905009,Paranoid schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
79866005,Subchronic paranoid schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
31658008,Chronic paranoid schizophrenia,Schizoaffective,,['efi' 'UoM' 'OPTIMAL' 'liverpool'],
