SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
108211000000104,Epilepsy impairs education,Seizure Disorders,,['Lauren_codelist'],
13973009,Grand mal status,Seizure Disorders,,['Lauren_codelist' 'efi'],
162658001,Epilepsy resolved,Seizure Disorders,,['Lauren_codelist'],
170702005,Epilepsy monitoring;Epilepsy monitoring NOS;Epilepsy monitoring,Seizure Disorders,,['Lauren_codelist' 'efi'],
170712003,Epilepsy treatment stopped,Seizure Disorders,,['Lauren_codelist'],
192845009,Myoclonic encephalopathy,Seizure Disorders,,['Lauren_codelist' 'efi'],
192979009,Generalised nonconvulsive epilepsy; Generalised nonconvulsive epilepsy NOS; Other specified generalised nonconvulsive epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
192981006,Epileptic seizures - atonic,Seizure Disorders,,['Lauren_codelist' 'efi'],
192982004,Epileptic seizures - akinetic,Seizure Disorders,,['Lauren_codelist' 'efi'],
192990004,Neonatal myoclonic epilepsy; Otohara syndrome,Seizure Disorders,,['Lauren_codelist' 'efi'],
192991000,Epileptic seizures - clonic,Seizure Disorders,,['Lauren_codelist' 'efi'],
192992007,Epileptic seizures - myoclonic,Seizure Disorders,,['Lauren_codelist' 'efi'],
192993002,Epileptic seizures - tonic,Seizure Disorders,,['Lauren_codelist' 'efi'],
192999003,Partial epilepsy with impairment of consciousness; Partial epilepsy with impairment of consciousness NOS,Seizure Disorders,,['Lauren_codelist' 'efi'],
193000002,Temporal lobe epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
193002005,Psychosensory epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
193004006,Epileptic automatism,Seizure Disorders,,['Lauren_codelist' 'efi'],
193008009,Somatosensory epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
193009001,Partial epilepsy with autonomic symptoms;Visceral reflex epilepsy;Part.epilepsy+autonomic sympt.,Seizure Disorders,,['Lauren_codelist' 'efi'],
193010006,Visual reflex epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
193011005,Unilateral epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
193021002,Cursive (running) epilepsy,Seizure Disorders,,['Lauren_codelist'],
199451000000106,Simple partial epileptic seizure,Seizure Disorders,,['Lauren_codelist' 'efi'],
202061000000107,Epilepsy monitoring call first letter,Seizure Disorders,,['Lauren_codelist'],
230381009,Focal epilepsy;Partial epilepsy without impairment of consciousness,Seizure Disorders,,['Lauren_codelist' 'efi'],
230413002,Juvenile absence epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
230418006,Lennox-Gastaut syndrome,Seizure Disorders,,['Lauren_codelist' 'efi'],
230423006,Unverricht - Lundborg disease,Seizure Disorders,,['Lauren_codelist' 'efi'],
230429005,Early infant epileptic encephalopathy wth suppression bursts;Ohtahara syndrome,Seizure Disorders,,['Lauren_codelist'],
230437002,Severe myoclonic epilepsy in infancy,Seizure Disorders,,['Lauren_codelist'],
230441003,Drug-induced epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
230444006,Menstrual epilepsy,Seizure Disorders,,['Lauren_codelist'],
230445007,Nocturnal epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
230456007,Status epilepticus;[X]Other status epilepticus;[X]Status epilepticus unspecified;Status epilepticus unspecified,Seizure Disorders,,['Lauren_codelist' 'efi'],
230460005,Complex partial status epilepticus,Seizure Disorders,,['Lauren_codelist' 'efi'],
241006,Kojevnikov's epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
267581004,Progressive myoclonic epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
307356008,Motor epilepsy;Focal epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
307357004,"Jacksonian, focal or motor epilepsy",Seizure Disorders,,['Lauren_codelist' 'efi'],
313307000,Fit (in known epileptic) NOS;(Epilepsy) or (epileptic attack),Seizure Disorders,,['Lauren_codelist' 'efi'],
314827004,Epilepsy control good,Seizure Disorders,,['Lauren_codelist' 'efi'],
314828009,Epilepsy control poor,Seizure Disorders,,['Lauren_codelist' 'efi'],
352818000,Tonic-clonic epilepsy;Grand mal (major) epilepsy,Seizure Disorders,,['Lauren_codelist' 'Lauren_codelist' 'efi'],
361123003,Psychomotor epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
395689002,Transient epileptic amnesia,Seizure Disorders,,['Lauren_codelist'],
401062003,Epilepsy medication review,Seizure Disorders,,['Lauren_codelist' 'efi'],
401178003,Epilepsy care arrangement,Seizure Disorders,,['Lauren_codelist'],
407570006,Patient on maximal tolerated anticonvulsant therapy,Seizure Disorders,,['Lauren_codelist'],
407585000,Seizure free >12 months,Seizure Disorders,,['Lauren_codelist'],
407616001,Epilepsy severity,Seizure Disorders,,['Lauren_codelist' 'efi'],
407617005,No seizures on treatment,Seizure Disorders,,['Lauren_codelist' 'efi'],
407618000,1 to 12 seizures a year,Seizure Disorders,,['Lauren_codelist'],
407619008,2 to 4 seizures a month,Seizure Disorders,,['Lauren_codelist'],
407620002,1 to 7 seizures a week,Seizure Disorders,,['Lauren_codelist'],
407623000,Emergency epilepsy treatment since last appointment,Seizure Disorders,,['Lauren_codelist' 'efi'],
407627004,Epilepsy confirmed,Seizure Disorders,,['Lauren_codelist' 'efi'],
407675009,Complex partial epileptic seizure,Seizure Disorders,,['Lauren_codelist' 'efi'],
413101007,Stress-induced epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
414860000,No epilepsy drug side effects,Seizure Disorders,,['Lauren_codelist' 'efi'],
416090009,Epilepsy monitoring verbal invite,Seizure Disorders,,['Lauren_codelist'],
429279006,Seen in epilepsy clinic,Seizure Disorders,,['Lauren_codelist' 'efi'],
50866000,Pykno-epilepsy; Petit mal (minor) epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
6204001,Juvenile myoclonic epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
65120008,Generalised convulsive epilepsy;Generalised convulsive epilepsy NOS;Other specified generalised convulsive epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
7033004,Petit mal status,Seizure Disorders,,['Lauren_codelist' 'efi'],
73495003,Dyssynergia cerebellaris myoclonica,Seizure Disorders,,['Lauren_codelist'],
75023009,Traumatic epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
79745005,Sensory induced epilepsy; Tapping epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
84757009,Epilepsy;Seizure Disorders;Epilepsy NOS;Other forms of epilepsy;[X]Other epilepsy;[X]Other generalized epilepsy and epileptic syndromes,Seizure Disorders,,['Lauren_codelist' 'efi'],
88491000000102,Epilepsy limits activities,Seizure Disorders,,['Lauren_codelist' 'efi'],
89525009,Gelastic epilepsy,Seizure Disorders,,['Lauren_codelist'],
93401000000104,DNA - Did not attend epilepsy clinic; Did not attend epilepsy clinic,Seizure Disorders,,['Lauren_codelist' 'efi'],
95208000,Photosensitive epilepsy,Seizure Disorders,,['Lauren_codelist' 'efi'],
161480008,H/O: epilepsy,Seizure Disorders,,['efi'],
16873003,Musicogenic epilepsy,Seizure Disorders,,['efi'],
170706008,Epilepsy associated problems,Seizure Disorders,,['efi'],
170709001,Epilepsy drug side effects,Seizure Disorders,,['efi'],
170710006,Epilepsy treatment changed,Seizure Disorders,,['efi'],
170711005,Epilepsy treatment started,Seizure Disorders,,['efi'],
193003000,Mesiobasal limbic epilepsy,Seizure Disorders,,['efi'],
193022009,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset,Seizure Disorders,,['efi'],
19598007,Generalised epilepsy,Seizure Disorders,,['efi'],
230390002,Localisation-related symptomatic epilepsy,Seizure Disorders,,['efi'],
230391003,Amygdalo-hippocampal epilepsy,Seizure Disorders,,['efi'],
