SnomedCTConceptId,Term,Disease,Otherinstructions,origin,comments
134406006,Smoking reduced,Smoker,Take category from the most recent code that appears.,['efi'],
160603005,Light smoker - 1-9 cigs/day,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160604004,Moderate smoker - 10-19 cigs/d,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160605003,Heavy smoker - 20-39 cigs/day,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160606002,Very heavy smoker - 40+cigs/d,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160612007,Keeps trying to stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160613002,Admitted tobacco cons untrue ?,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160616005,Trying to give up smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
160619003,Rolls own cigarettes,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
203191000000107,Wants to stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230056004,Cigarette consumption,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230057008,Cigar consumption,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230058003,Pipe tobacco consumption,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230059006,Occasional smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230060001,Light cigarette smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230062009,Moderate cigarette smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230063004,Heavy cigarette smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230064005,Very heavy cigarette smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
230065006,Chain smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
266918002,Amount+type of tobacco smoked,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
266920004,Occasional smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
266927001,Tobacco smok consumpt unknown,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
266929003,Smoking restarted,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
308438006,Smoking restarted,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
365981007,Smoker - amount smoked,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
394871007,Thinking about stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
394872000,Ready to stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
394873005,Not interested stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
401159003,Reason for restarting smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
413173009,Min from wake to 1st tobac con,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
428041000124106,Occasional smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
446172000,Failed attempt to stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
59978006,Cigar smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
65568007,Smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
77176002,Current smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
82302008,Pipe smoker,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
365981007,Smoker - amount smoked,Smoker,Category: current (if numerical value > 0). Take category from the most recent code that appears.,['efi'],
203191000000107,Wants to stop smoking,Smoker,Category: current. Take category from the most recent code that appears.,['efi'],
836001000000109,Waterpipe tobacco consumption,Smoker,Category: current (if numerical value > 0). Take category from the most recent code that appears.,['efi'],
1221000119103,[V]PH of tobacco abuse,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
160617001,Stopped smoking,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
160620009,Ex pipe smoker,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
160621008,Ex cigar smoker,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
160625004,Date ceased smoking,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
228486009,Time since stopped smoking,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
266921000,"Ex-triv cigaret smoker, <1/day",Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
266922007,"Ex-light cigaret smok, 1-9/day",Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
266923002,"Ex-mod cigaret smok, 10-19/day",Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
266924008,"Ex-heav cigaret smok,20-39/day",Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
266925009,"Ex-very hv cigaret smk,40+/day",Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
266928006,Ex-cigaret smoker amnt unknown,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
281018007,Ex-cigarette smoker,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
492191000000103,Ex roll-up cigarette smoker,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
505761000000105,Ex-smoker annual review - ESA,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
8517006,Former smoker,Smoker,Category: ex. Take category from the most recent code that appears.,['efi'],
