SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
7713009,Intrapontine hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
49422009,Cortical hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
52201006,Internal capsule hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
75038005,Cerebellar hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195165005,Basal ganglia hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195167002,External capsule hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195168007,"Intracerebral haemorrhage, intraventricular",Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195169004,"Intracerebral hemorrhage, multiple localized",Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230710000,Lobar cerebral hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
274100004,Cerebral hemorrhage,Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
732923001,Hemorrhage of medulla oblongata (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230712008,Lacunar hemorrhage (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
276722003,Intracerebellar and posterior fossa hemorrhage (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
95454007,Brain stem hemorrhage (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
20908003,Subcortical cerebral hemorrhage (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230709005,Massive supratentorial cerebral hemorrhage (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230711001,Thalamic hemorrhage (disorder),Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
308128006,"Right sided intracerebral hemorrhage, unspecified",Stroke - Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
1078001000000105,Haemorrhagic stroke (disorder),Stroke - Haemorrhagic,,['Caliber'],
230706003,Hemorrhagic cerebral infarction (disorder),Stroke - Haemorrhagic,,['Manchester'],
272202251000119000,Acute cerebrovascular accident due to occlusion of right middle cerebral artery (disorder),Stroke - Haemorrhagic,,['Manchester'],
291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere (disorder),Stroke - Haemorrhagic,,['Manchester'],
291531000119108,Spontaneous hemorrhage of cerebral hemisphere (disorder),Stroke - Haemorrhagic,,['Manchester'],
291541000119104,Spontaneous hemorrhage of brain stem (disorder),Stroke - Haemorrhagic,,['Manchester'],
5571000124103,Cerebrovascular accident with intracranial hemorrhage (disorder),Stroke - Haemorrhagic,,['Manchester'],
1078001000000100,Haemorrhagic stroke (disorder),Stroke - Haemorrhagic,,['Manchester'],
1260271009,Hemorrhagic cerebral infarction due to hypertension (disorder),Stroke - Haemorrhagic,,['Manchester'],
195185009,Cerebral infarct due to thrombosis of precerebral arteries (disorder),Stroke - Haemorrhagic,,['Manchester'],
290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),Stroke - Haemorrhagic,,['Manchester'],
291521000119105,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder),Stroke - Haemorrhagic,,['Manchester'],
290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),Stroke - Haemorrhagic,,['Manchester'],
291531000119108,Spontaneous hemorrhage of cerebral hemisphere (disorder),Stroke - Haemorrhagic,,['Manchester'],
1078001000000100,Haemorrhagic stroke (disorder),Stroke - Haemorrhagic,,['Manchester'],
291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere (disorder),Stroke - Haemorrhagic,,['Manchester'],
291521000119105,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder),Stroke - Haemorrhagic,,['Manchester'],
291541000119104,Spontaneous hemorrhage of brain stem (disorder),Stroke - Haemorrhagic,,['Manchester'],
5571000124103,Cerebrovascular accident with intracranial hemorrhage (disorder),Stroke - Haemorrhagic,,['Manchester'],
1508000,Intracerebral hemorrhage (disorder),Stroke - Haemorrhagic,,['Manchester'],
195163003,Intracerebral haemorrhage (& [cerebrovascular accident due to]),Stroke - Haemorrhagic,,['Manchester'],
1163482004,Hemorrhagic cerebral infarction caused by Aspergillus (disorder),Stroke - Haemorrhagic,,['Manchester'],
1259499007,Dementia due to hemorrhagic cerebral infarction due to hypertension (disorder),Stroke - Haemorrhagic,,['Manchester'],
