SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
275526006,[V]Personal history of stroke,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,"['efi', 'Lauren_codelist']",
275526006,H/O: CVA/stroke,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,"['efi', 'Lauren_codelist']",
308067002,H/O: Stroke in last year,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,"['efi', 'Lauren_codelist']",
277286006,Central post-stroke pain,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,"['efi', 'Lauren_codelist']",
699270006,Stroke/CVA annual review,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,"['efi', 'Lauren_codelist']",
428011000000100,[V]Personal history of cerebrovascular accident (CVA),Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['Lauren_codelist'],
112901000000108,Ref to multidisciplinary stroke function improvement service,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['Lauren_codelist'],
195239002,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction",Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
2517002,Stroke rehabilitation,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
716581000000101,Excepted from stroke quality indicators: Patient unsuitable,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
716021000000109,Excepted from stroke quality indicators: Informed dissent,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
231231000000107,Delivery of rehabilitation for stroke,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
521411000000106,Did not attend stroke review,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
519751000000106,Stroke/cerebrovascular accident 6 month review,Stroke - History and Monitoring of Ischaemic and Haemorrhagic,,['efi'],
