SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
195209007,Middle cerebral artery syndrome,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195210002,Anterior cerebral artery syndrome,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195211003,Posterior cerebral artery syndrome,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195213000,Cerebellar stroke syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195212005,Brainstem stroke syndrome,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195216008,Left sided cerebral hemisphere cerebrovascular accident,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195217004,Right sided CVA,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230690007,CVA - Cerebrovascular accident,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
275434003,Stroke in the puerperium,Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
281240008,Extension of cerebrovascular accident (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230713003,Stroke of uncertain pathology (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230714009,Anterior circulation stroke of uncertain pathology (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230715005,Posterior circulation stroke of uncertain pathology (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
230702001,Lacunar ataxic hemiparesis (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
24654003,Weber-Gubler syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
25133001,Completed stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
276221006,Millard-Gubler syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195200006,Carotid artery syndrome hemispheric,Stroke - Ischaemic and Haemorrhagic,,"['Caliber, 'efi', 'Lauren_codelist']",
195201005,Multiple and bilateral precerebral artery syndromes,Stroke - Ischaemic and Haemorrhagic,,"['Caliber, 'efi', 'Lauren_codelist']",
230699008,Pure motor lacunar syndrome,Stroke - Ischaemic and Haemorrhagic,,"['Caliber, 'efi', 'Lauren_codelist']",
230739000,Spinal cord stroke,Stroke - Ischaemic and Haemorrhagic,,['efi'],
306803007,Admission to stroke unit,Stroke - Ischaemic and Haemorrhagic,,['efi'],
426891000000103,[X]Other lacunar syndromes,Stroke - Ischaemic and Haemorrhagic,,['efi'],
230703006,Dysarthria-clumsy hand syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
276220007,Foville syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
16371800000000000,Cerebellar stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
16371800000000000,Cerebellar stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
230706003,Hemorrhagic cerebral infarction (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
230708002,Posterior cerebral circulation hemorrhagic infarction (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
230707007,Anterior cerebral circulation hemorrhagic infarction (disorder),Stroke - Ischaemic and Haemorrhagic,,['Caliber'],
62914000,Cerebrovascular disease,Stroke - Ischaemic and Haemorrhagic,,"['efi', 'Lauren_codelist']",
14309005,Anterior choroidal artery syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
292851000119109,Lacunar ataxic hemiparesis of right dominant side (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
330421000119102,Lacunar ataxic hemiparesis of right nondominant side (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
595899961000119000,Cerebrovascular accident of basal ganglia (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
652287331000119000,Cerebrovascular accident of brainstem (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
111297002,Nonparalytic stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
116288000,Paralytic stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
16371781000119100,Cerebellar stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
292861000119106,Lacunar ataxic hemiparesis of left dominant side (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
330411000119109,Lacunar ataxic hemiparesis of left nondominant side (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
444657001,Superior cerebellar artery syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
57981008,Progressing stroke (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
724429004,Stroke co-occurrent with migraine (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
769023031000119000,Cerebrovascular accident of thalamus (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
881694631000119000,Cerebrovascular accident of medulla oblongata (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
266312006,Cerebrovascular: [disease] or [accident],Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
266315008,(Cerebral infarct) or (cerebrovascular accident) or (undefined stroke/CVA) or (stroke NOS),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
41713005,Benedikt's syndrome (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
12204031000119100,Cerebrovascular accident following procedure on heart (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
200328002,Cerebrovascular disorders in the puerperium (& [CVA - cerebrovascular accident]),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
6594005,Cerebrovascular disorder in the puerperium (disorder),Stroke - Ischaemic and Haemorrhagic,,['Manchester'],
