SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
20059004,Cerebral arterial occlusion,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
71444005,Cerebral thrombosis,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195189003,Cerebral infarction due to thrombosis of cerebral arteries,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
75543006,Cerebral embolism,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195190007,Cerebral infarction due to embolism of cerebral arteries,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
432504007,Cerebral infarction NOS,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
307766002,Left sided cerebral infarction,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
307767006,Right sided cerebral infarction,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
413102000,Infarction of basal ganglia,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
432504007,[X]Other cerebral infarction,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
20059004,[X]Occlusion and stenosis of other cerebral arteries,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
95457000,Brainstem infarction NOS,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
95460007,Cerebellar infarction,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
95457000,Brainstem infarction,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
195186005,Cerebral infarction due to embolism of precerebral arteries,Stroke - Ischaemic,,"['Caliber', 'efi', 'Lauren_codelist', 'Manchester']",
