SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
20059004,Cerebral arterial occlusion,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
71444005,Cerebral thrombosis,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
195189003,Cerebral infarction due to thrombosis of cerebral arteries,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
75543006,Cerebral embolism,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
195190007,Cerebral infarction due to embolism of cerebral arteries,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
432504007,Cerebral infarction NOS,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
307766002,Left sided cerebral infarction,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
307767006,Right sided cerebral infarction,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
413102000,Infarction of basal ganglia,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
432504007,[X]Other cerebral infarction,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
20059004,[X]Occlusion and stenosis of other cerebral arteries,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
95457000,Brainstem infarction NOS,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
95460007,Cerebellar infarction,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
95457000,Brainstem infarction,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],StrokeIschaemic_Caliber_EFI_LaurenCombined_v3.csv And ManchesterRichardWilliams_Stroke.csv
