SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments,
7713009,Intrapontine hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
49422009,Cortical hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
52201006,Internal capsule hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
75038005,Cerebellar hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
195165005,Basal ganglia hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
195167002,External capsule hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
195168007,"Intracerebral haemorrhage, intraventricular",Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
195169004,"Intracerebral hemorrhage, multiple localized",Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
230710000,Lobar cerebral hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
274100004,Cerebral hemorrhage,Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
732923001,Hemorrhage of medulla oblongata (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
230712008,Lacunar hemorrhage (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
276722003,Intracerebellar and posterior fossa hemorrhage (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
