,SnomedCTConceptId,MedCodeId,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
1,28048009,123421000006117,1,S6203,S620300,Subarachnoid h'ge inj no open intracran wound + 1-24hr LOC,46957015,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
2,28048009,123391000006113,5,S6202,S620200,Subarachnoid h'ge inj no open intracran wnd+<1hr loss consc,46957015,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
3,28048009,123311000006115,2,S620z,S620z00,Subarach h'ge inj no open intracran wnd + concussion unspec,46957015,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
4,28048009,123411000006113,6,S6201,S620100,Subarachnoid h'ge inj no open intracran wnd+no loss consc,46957015,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
5,28048009,402929011,2000,S620,S620.00,Subarachnoid haemorrhage following injury without open intracranial wound,483737017,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
6,28048009,123331000006114,1,S6206,S620600,Subarach h'ge inj no open intracran wnd+LOC unspec duration,46957015,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
7,28048009,123431000006119,3,S6200,S620000,Subarachnoid h'ge inj no open intracran wound + unspec consc,46957015,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
8,30400005,702641000006119,6,S620-1,S620.11,Middle meningeal haemmorhage following injury,484576014,NA,32,Haemorrh: [closed traum subarach] or [mid mening follow inj],Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
9,450410005,660121000006113,2000,S62-1,S62..11,Traumatic intracranial haemorrhage,2915482010,NA,32,Traumatic intracranial haemorrhage,Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
10,450410005,7378271000006116,70,^ESCTIN737827,NA,Intracranial haemorrhage following injury,2915426010,NA,32,Traumatic intracranial haemorrhage,Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
11,450418003,505322013,4000,S62,S62..00,Cerebral haemorrhage following injury,2916363013,NA,32,Traumatic intracerebral haemorrhage,Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
12,450418003,35791000006117,3,S631,S631.00,Other cerebral h'ge after injury + open intracranial wound,2915288012,NA,32,Traumatic intracerebral haemorrhage,Stroke,NA,['efi'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
