,SnomedCTConceptId,MedCodeId,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
1,1078001000000100,NA,NA,NA,NA,NA,NA,NA,NA,Haemorrhagic stroke (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
2,1078001000000100,NA,NA,NA,NA,NA,NA,NA,NA,Haemorrhagic stroke (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
3,1078001000000105,8453031000006117,3000,^ESCTHA845303,NA,Haemorrhagic stroke,2702821000000119,NA,32,Haemorrhagic stroke (disorder),Caliber - Haemorrhagic,NA,['Caliber'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv
4,1260271009,NA,NA,NA,NA,NA,NA,NA,NA,Hemorrhagic cerebral infarction due to hypertension (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
5,1508000,NA,NA,NA,NA,NA,NA,NA,NA,Intracerebral hemorrhage (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
6,195163003,NA,NA,NA,NA,NA,NA,NA,NA,Intracerebral haemorrhage (& [cerebrovascular accident due to]),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
7,195165005,4777811000006117,8,^ESCTBA477781,NA,Basal ganglia hemorrhage,300271012,NA,32,Basal ganglia hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
8,195165005,503791000006114,3000,G612,G612.00,Basal ganglia haemorrhage,300272017,NA,32,Basal ganglia hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
9,195167002,300276019,100,G616,G616.00,External capsule haemorrhage,300276019,NA,32,External capsule hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
10,195168007,4777861000006119,7,^ESCTIN477786,NA,Intracerebral haemorrhage with intraventricular haemorrhage,2915438018,NA,32,"Intracerebral haemorrhage, intraventricular",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
11,195168007,163261000006119,1000,G61X1,G61X100,"Right sided intracerebral haemorrhage, unspecified",300277011,NA,32,"Intracerebral haemorrhage, intraventricular",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
12,195168007,4777871000006114,1,^ESCTIN477787,NA,Intracerebral hemorrhage with intraventricular hemorrhage,2916313015,NA,32,"Intracerebral haemorrhage, intraventricular",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
13,195168007,300277011,5000,G617,G617.00,"Intracerebral haemorrhage, intraventricular",300277011,NA,32,"Intracerebral haemorrhage, intraventricular",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
14,195169004,746571000006116,200,G618,G618.00,"Intracerebral haemorrhage, multiple localized",300280012,NA,32,"Intracerebral hemorrhage, multiple localized",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
15,195169004,4777881000006112,200,^ESCTIN477788,NA,"Intracerebral haemorrhage, multiple localised",300280012,NA,32,"Intracerebral hemorrhage, multiple localized",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
16,195185009,300312010,3000,G63y0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,300312010,NA,32,Cerebral infarct due to thrombosis of precerebral arteries (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
17,20908003,2832661000006113,3,^ESCTSU283266,NA,Subcortical hemorrhage,35158017,NA,32,Subcortical cerebral hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
18,20908003,2832651000006111,30,^ESCTSU283265,NA,Subcortical haemorrhage,480871019,NA,32,Subcortical cerebral hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
19,230706003,5011291000006119,400,^ESCTHA501129,NA,Haemorrhagic cerebral infarction,345667018,NA,32,Hemorrhagic cerebral infarction (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
20,230706003,5011301000006118,1,^ESCTHE501130,NA,Hemorrhagic cerebral infarction,345666010,NA,32,Hemorrhagic cerebral infarction (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
21,230709005,5011371000006112,1,^ESCTMA501137,NA,Massive supratentorial cerebral haemorrhage,345672010,NA,32,Massive supratentorial cerebral hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
