,SnomedCTConceptId,MedCodeId,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
1,111297002,4193641000006111,20,^ESCTNO419364,NA,Nonparalytic stroke,178528011,NA,32,Nonparalytic stroke (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv
2,116288000,4270361000006116,4,^ESCTPA427036,NA,Paralytic stroke,178738015,NA,32,Paralytic stroke (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv
3,1179360000,NA,NA,NA,NA,NA,NA,NA,NA,Fetal epilepsy due to perinatal stroke (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv
4,12204031000119100,NA,NA,NA,NA,NA,NA,NA,NA,Cerebrovascular accident following procedure on heart (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv
5,14309005,2726591000006119,9,^ESCTAN272659,NA,Anterior choroidal artery syndrome,24333016,NA,32,Anterior choroidal artery syndrome (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv
6,16371781000119100,9912271000006112,1000,^ESCTCE991227,NA,Cerebellar stroke,3320493016,NA,32,Cerebellar stroke (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv
7,16371800000000000,NA,NA,NA,NA,NA,NA,NA,NA,Cerebellar stroke (disorder),Caliber - Ischaemic Stroke ,move to Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined.csv,['Caliber'],StrokeIschaemic_Caliber.csv
8,16371800000000000,NA,NA,NA,NA,NA,NA,NA,NA,Cerebellar stroke (disorder),Caliber - Ischaemic Stroke ,move to Stroke_IschaemicAndHaemorrhagic_Both_Caliber_EFI_LaurenCombined.csv,['Caliber'],StrokeIschaemic_Caliber.csv
9,195200006,300344014,800,G653,G653.00,Carotid artery syndrome hemispheric,300344014,NA,32,Carotid artery syndrome hemispheric,Caliber - Ischaemic Stroke,Excluding non matching rows from StrokeIschaemic_Caliber.csv And Stroke_IschaemicAndHaemorrhagic_Both.csv as these were already included in StrokeIschaemic_Caliber_EFI_LaurenCombined.csv,['Caliber AND Either (efi OR Lauren_codelist)'],StrokeIschaemic_Caliber.csv And Stroke_IschaemicAndHaemorrhagic_Both.csv
10,195201005,300345010,40,G654,G654.00,Multiple and bilateral precerebral artery syndromes,300345010,NA,32,Multiple and bilateral precerebral artery syndromes,Caliber - Ischaemic Stroke,Excluding non matching rows from StrokeIschaemic_Caliber.csv And Stroke_IschaemicAndHaemorrhagic_Both.csv as these were already included in StrokeIschaemic_Caliber_EFI_LaurenCombined.csv,['Caliber AND Either (efi OR Lauren_codelist)'],StrokeIschaemic_Caliber.csv And Stroke_IschaemicAndHaemorrhagic_Both.csv
