,SnomedCTConceptId,MedCodeId,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
1,195154000,300242011,2000,G600,G600.00,Ruptured berry aneurysm,300242011,NA,32,Ruptured berry aneurysm,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
2,195155004,300244012,60,G601,G601.00,Subarachnoid haemorrhage from carotid siphon and bifurcation,300244012,NA,32,Subarachnoid haemorrhage from carotid siphon and bifurcation,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
3,195160000,300253017,70,G606,G606.00,Subarachnoid haemorrhage from vertebral artery,300253017,NA,32,Subarachnoid haemorrhage from vertebral artery,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
4,21454007,2841151000006113,4,^ESCTSA284115,NA,SAH - Subarachnoid hemorrhage,1217630014,NA,32,Subarachnoid haemorrhage NOS,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
5,21454007,2841151000006113,4,^ESCTSA284115,NA,SAH - Subarachnoid hemorrhage,1217630014,NA,32,[X]Other subarachnoid haemorrhage,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
6,21454007,2841151000006113,4,^ESCTSA284115,NA,SAH - Subarachnoid hemorrhage,1217630014,NA,32,Subarachnoid haemorrhage from anterior communicating artery,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
7,21454007,2841151000006113,4,^ESCTSA284115,NA,SAH - Subarachnoid hemorrhage,1217630014,NA,32,[X]Subarachnoid haemorrhage from other intracranial arteries,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
8,21454007,2841151000006113,4,^ESCTSA284115,NA,SAH - Subarachnoid hemorrhage,1217630014,NA,32,Subarachnoid haemorrhage,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
9,21454007,300257016,4000,G60z,G60z.00,Subarachnoid haemorrhage NOS,481028017,NA,32,Subarachnoid haemorrhage NOS,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
10,21454007,300257016,4000,G60z,G60z.00,Subarachnoid haemorrhage NOS,481028017,NA,32,[X]Other subarachnoid haemorrhage,Subarachnoid Haemorrhage,NA,['Lauren_codelist'],NA
