SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
1022791000000100,Serum thyroid stimulating hormone level (observable entity),Thyroid Problem,"Any abnormal result (if not specified in dataset using Oxford Handbook of Clinical & Laboratory Investigations reference range, values <0.36 or >5.5 mU/L are abnormal)",['efi'],
1027151000000100,Thyroid stimulating hormone level (observable entity),Thyroid Problem,"Any abnormal result (if not specified in dataset using Oxford Handbook of Clinical & Laboratory Investigations reference range, values <0.36 or >5.5 mU/L are abnormal)",['efi'],
111566002,Acquired hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
131089005,Thyroid hormone tests high,Thyroid Problem,,['efi'],
161442007,H/O: hyperthyroidism,Thyroid Problem,,['efi'],
161443002,H/O: hypothyroidism,Thyroid Problem,,['efi'],
170780004,Thyroid disease monitoring,Thyroid Problem,,['Lauren_codelist'],
190241003,Toxic diffuse goitre with no crisis,Thyroid Problem,,['Lauren_codelist'],
190242005,Toxic diffuse goitre with crisis,Thyroid Problem,,['Lauren_codelist'],
190244006,Toxic uninodular goitre with no crisis,Thyroid Problem,,['Lauren_codelist'],
190247004,Toxic multinodular goitre with no crisis,Thyroid Problem,,['Lauren_codelist'],
190268003,Congenital hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
190277005,Irradiation hypothyroidism,Thyroid Problem,,['Lauren_codelist' 'efi'],
190279008,Iodine hypothyroidism,Thyroid Problem,,['Lauren_codelist' 'efi'],
190291004,Premature puberty due to hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
190309006,Thyroid atrophy,Thyroid Problem,,['Lauren_codelist'],
193212008,Myasthenic syndrome due to hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
193214009,Myasthenic syndrome due to thyrotoxicosis,Thyroid Problem,,['Lauren_codelist'],
19885005,Thyrotoxic exophthalmos,Thyroid Problem,,['Lauren_codelist'],
21263006,Myxoedema coma,Thyroid Problem,,['Lauren_codelist'],
217710005,Congenital iodine deficiency syndrome,Thyroid Problem,,['Lauren_codelist'],
21983002,Hashimoto's thyroiditis,Thyroid Problem,,['Lauren_codelist'],
237498007,Toxic goitre,Thyroid Problem,,['Lauren_codelist'],
237515009,Congenital hypothyroidism without goitre,Thyroid Problem,,['Lauren_codelist'],
237518006,"Hypothyroid goitre, acquired",Thyroid Problem,,['Lauren_codelist'],
237519003,Autoimmune hypothyroidism,Thyroid Problem,,['efi'],
237520009,Hypothyroidism due to Hashimoto's thyroiditis,Thyroid Problem,,['efi'],
237521008,Hypothyroidism due to TSH receptor blocking antibody,Thyroid Problem,,['efi'],
237523006,Compensated hypothyroidism,Thyroid Problem,,['efi'],
237527007,Postablative hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
237528002,Post-infectious hypothyroidism,Thyroid Problem,,['efi'],
237538007,Chronic thyroiditis with transient thyrotoxicosis,Thyroid Problem,,['Lauren_codelist'],
237555006,Hypothyroidism due to iodide trapping defect,Thyroid Problem,,['efi'],
237558008,Acquired atrophy of thyroid,Thyroid Problem,,['Lauren_codelist'],
237825005,Thyroid-associated dermopathy,Thyroid Problem,,['Lauren_codelist'],
26389007,Toxic multinodular goitre,Thyroid Problem,,['Lauren_codelist'],
267374005,Toxic diffuse goitre,Thyroid Problem,,['Lauren_codelist'],
27059002,Postsurgical hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
275536003,H/O: thyroid disorder,Thyroid Problem,,['Lauren_codelist'],
276177000,Thyroid eye disease,Thyroid Problem,,['Lauren_codelist'],
278503003,Congenital hypothyroidism with diffuse goitre,Thyroid Problem,,['Lauren_codelist'],
286910004,Hypothyroidism - congen and acquir (& [cretinism][myxoedem]),Thyroid Problem,,['efi'],
29028009,Thyroid crisis,Thyroid Problem,,['Lauren_codelist'],
312399001,Thyroid function tests abnormal,Thyroid Problem,,['efi'],
34486009,Hyperthyroidism,Thyroid Problem,,['Lauren_codelist'],
353295004,Graves' disease,Thyroid Problem,,['Lauren_codelist'],
367631000119105,Drug-induced hypothyroidism,Thyroid Problem,,['efi'],
40539002,Radioactive iodine-induced hypothyroidism,Thyroid Problem,,['efi'],
40930008,Hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
412780006,Hypothyroidism clinical management plan,Thyroid Problem,,['Lauren_codelist' 'efi'],
414439002,Hypothyroidism monitoring first letter,Thyroid Problem,,['Lauren_codelist' 'efi'],
414441001,Hypothyroidism monitoring second letter,Thyroid Problem,,['Lauren_codelist'],
414442008,Hypothyroidism monitoring third letter,Thyroid Problem,,['Lauren_codelist'],
416326003,Hypothyroidism monitoring verbal invite,Thyroid Problem,,['Lauren_codelist'],
416477006,Hyperthyroidism resolved,Thyroid Problem,,['Lauren_codelist'],
43153006,Myxoedema,Thyroid Problem,,['Lauren_codelist'],
45053005,Chronic thyroiditis,Thyroid Problem,,['Lauren_codelist'],
54823002,Subclinical hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
57777000,Toxic nodular goiter,Thyroid Problem,,['Lauren_codelist'],
63127008,Hypothyroidism due to thyroglobulin synthesis defect,Thyroid Problem,,['efi'],
68437005,Myopathy due to thyrotoxicosis,Thyroid Problem,,['Lauren_codelist'],
70348004,Pendred's syndrome,Thyroid Problem,,['Lauren_codelist'],
736287007,Hypothyroidism clinical management plan,Thyroid Problem,,['efi'],
73869005,Toxic uninodular goitre,Thyroid Problem,,['Lauren_codelist'],
82119001,Thyroiditis,Thyroid Problem,,['Lauren_codelist'],
82598004,Secondary hypothyroidism,Thyroid Problem,,['efi'],
87844004,Myopathy due to myxoedema,Thyroid Problem,,['Lauren_codelist'],
88273006,Iatrogenic hypothyroidism,Thyroid Problem,,['Lauren_codelist'],
90739004,Thyrotoxicosis,Thyroid Problem,,['Lauren_codelist'],
102871000119101,Hypothyroidism due to thyroiditis,Thyroid Problem,,['NHSD_hypothyroidism'],
10718002,Juvenile myxedema,Thyroid Problem,,['NHSD_hypothyroidism'],
10809101000119109,Hypothyroidism in childbirth,Thyroid Problem,,['NHSD_hypothyroidism'],
14779006,Hypothyroidism following external radiotherapy,Thyroid Problem,,['NHSD_hypothyroidism'],
17885001,Iodotyrosine deiodination defect,Thyroid Problem,,['NHSD_hypothyroidism'],
190304001,Dyshormonogenic goiter,Thyroid Problem,,['NHSD_hypothyroidism'],
216693007,Hypothyroid dwarfism,Thyroid Problem,,['NHSD_hypothyroidism'],
22558005,Iodide transport defect,Thyroid Problem,,['NHSD_hypothyroidism'],
23536000,Iodotyrosyl coupling defect,Thyroid Problem,,['NHSD_hypothyroidism'],
237516005,Congenital thyroid hypoplasia,Thyroid Problem,,['NHSD_hypothyroidism'],
237517001,Congenital atrophy of thyroid,Thyroid Problem,,['NHSD_hypothyroidism'],
237554005,Familial dyshormonogenetic goiter,Thyroid Problem,,['NHSD_hypothyroidism'],
237556007,Hypothyroidism due to iodide organification defect,Thyroid Problem,,['NHSD_hypothyroidism'],
237559000,Thyroid hormone resistance syndrome,Thyroid Problem,,['NHSD_hypothyroidism'],
237562002,Iodine deficiency syndrome,Thyroid Problem,,['NHSD_hypothyroidism'],
237565000,Congenital iodine deficiency syndrome - mixed type,Thyroid Problem,,['NHSD_hypothyroidism'],
237567008,Subclinical iodine deficiency hypothyroidism,Thyroid Problem,,['NHSD_hypothyroidism'],
237695004,Idiopathic thyroid stimulating hormone deficiency,Thyroid Problem,,['NHSD_hypothyroidism'],
26692000,Central hypothyroidism,Thyroid Problem,,['NHSD_hypothyroidism'],
30229009,Hypothyroidism due to infiltrative disease,Thyroid Problem,,['NHSD_hypothyroidism'],
37429009,Hypothalamic hypothyroidism,Thyroid Problem,,['NHSD_hypothyroidism'],
43507005,Adult myxedema,Thyroid Problem,,['NHSD_hypothyroidism'],
440092001,Endemic congenital iodine deficiency syndrome of myxedematous type,Thyroid Problem,,['NHSD_hypothyroidism'],
4641009,Myxedema heart disease,Thyroid Problem,,['NHSD_hypothyroidism'],
52724003,Iodide oxidation defect,Thyroid Problem,,['NHSD_hypothyroidism'],
56041007,Hypothyroidism due to defect in thyroid hormone synthesis,Thyroid Problem,,['NHSD_hypothyroidism'],
