SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161794005,H/O: stress incontinence,Urinary incontinence,If code recorded age>18,['efi']
165232002,Incontinence of urine,Urinary Incontinence,,['Lauren_codelist']
165232002,Urinary incontinence,Urinary incontinence,If code recorded age>18,['efi']
165232002,[D]Incontinence of urine,Urinary Incontinence,,['Lauren_codelist']
165232002,[D]Incontinence of urine NOS,Urinary Incontinence,,['Lauren_codelist']
165232002,[D]Urethral sphincter incontinence,Urinary Incontinence,,['Lauren_codelist']
165232002,[X]Other specified urinary incontinence,Urinary Incontinence,,['Lauren_codelist']
165233007,Bladder: occasional accident,Urinary incontinence,If code recorded age>18,['efi']
183001000,Incontinence care,Urinary Incontinence,,['Lauren_codelist']
22220005,Stress incontinence,Urinary Incontinence,,['Lauren_codelist']
22220005,Stress incontinence (& symptom),Urinary incontinence,If code recorded age>18,['efi']
236241009,Bladder neck operation for female stress incontinence,Urinary incontinence,If code recorded age>18,['efi']
236272008,Activation of bulbar urethral prosthesis for incontinence,Urinary incontinence,If code recorded age>18,['efi']
236659004,Cough - urge incontinence of urine,Urinary incontinence,If code recorded age>18,['efi']
236660009,Giggle incontinence of urine,Urinary incontinence,If code recorded age>18,['efi']
236664000,Post-micturition incontinence,Urinary incontinence,If code recorded age>18,['efi']
236665004,Postural urinary incontinence,Urinary incontinence,If code recorded age>18,['efi']
236666003,Dependency urinary incontinence,Urinary incontinence,If code recorded age>18,['efi']
236667007,Psychogenic urinary incontinence,Urinary incontinence,If code recorded age>18,['efi']
249282008,Frequency of incontinence,Urinary incontinence,If code recorded age>18,['efi']
249284009,Unaware of passing urine,Urinary incontinence,If code recorded age>18,['efi']
265597008,Implantation of bulbar urethral prosthesis for incontinence,Urinary incontinence,If code recorded age>18,['efi']
266826009,Incontinence control,Urinary Incontinence,,['Lauren_codelist' 'Lauren_codelist']
266826009,Incontinence control (& bladder),Urinary incontinence,If code recorded age>18,['efi']
287775004,Urinary incontinence/sling operation,Urinary incontinence,If code recorded age>18,['efi']
303088008,Bladder neck incompetence,Urinary incontinence,If code recorded age>18,['efi']
326526004,"Drugs for enuresis, urinary frequency and incontinence",Urinary incontinence,If code recorded age>18,['efi']
366279009,Incontinence control (& bladder),Urinary incontinence,If code recorded age>18,['efi']
370555000,Urinary sphincter weakness incontinence,Urinary incontinence,If code recorded age>18,['efi']
37799002,Incontinence control (& bladder),Urinary incontinence,If code recorded age>18,['efi']
397878005,Overflow incontinence of urine,Urinary incontinence,If code recorded age>18,['efi']
415274007,Referral to incontinence clinic,Urinary Incontinence,,['Lauren_codelist']
415274007,Referral to incontinence clinic,Urinary incontinence,If code recorded age>18,['efi']
42112009,Urinary incontinence of non-organic origin,Urinary incontinence,If code recorded age>18,['efi']
59661004,Insertion retropubic device stress urinary incontinence NEC,Urinary incontinence,If code recorded age>18,['efi']
60241006,Stress incontinence - female,Urinary incontinence,If code recorded age>18,['efi']
78459008,Double incontinence,Urinary Incontinence,,['Lauren_codelist']
78459008,Double incontinence,Urinary incontinence,If code recorded age>18,['efi']
87557004,Urge incontinence of urine,Urinary Incontinence,,['Lauren_codelist']
87557004,Urge incontinence of urine,Urinary incontinence,If code recorded age>18,['efi']
87557004,[D] Urge incontinence,Urinary Incontinence,,['Lauren_codelist']
90987003,Reflex incontinence of urine,Urinary incontinence,If code recorded age>18,['efi']
